[empty],Flat,Threaded,User selectable themes,Unread message tracking,WYSIWYG Editor,Export  portability,Email / NNTP interface,Languages,SSO
bbPress,Yes[26],[empty],[empty],[empty],[empty],No[27],Plugin[28][29],Yes[30],[empty]
Beehive Forum,Yes[26],Yes[26],Partial[26],Full[26],Yes[26] (using TinyMCE),Partial[31],[empty],[empty],[empty]
Discourse,Yes,No[32],Yes[33],Full,Real-time side-by-side preview,Full[34],Partial[35],Yes[36][37],OAuth2[38]  Custom[39]
Discuz!,[empty],[empty],Yes[40],[empty],[empty],[empty],[empty],[empty],[added]
FluxBB,Yes[26],No[26],Partial[26],Session[26],No[26],[empty],[empty],Yes[41],[empty]
FUDforum,Yes[26],Yes[26],Yes[26],Full[26],Yes[26],Partial[42],Yes[43],Yes[44],[added]
Invision Power Board,Yes[26],[empty],Yes[26],Full[26],Yes[26],[empty],No[45],[empty],No[46]
MyBB[47],Yes[26],Yes[26],Yes[26],Full[26],Yes[26],No[48],No[49][50],Yes[51],[empty]
Phorum,Yes[26],Yes[26],Yes[26],Full[26],Yes[26],Plugin[52],[empty],No[53],[empty]
phpBB[54],Yes[26],No[26],Yes[26],Full[26],No[26],No[55],No[56][57],Yes[58],Yes (LDAP  OAuth)[59]
PunBB[60],Yes[26],[empty],Yes[26],Session[26],[empty],[empty],[empty],No[61][62],[empty]
Simple Machines Forum,Yes[26],No[26],Yes[26],Full[26],Yes[26],Partial [63],No[64],Yes[65],[empty]
Thredded,Yes[19],No[19],Yes[19],Full[19],No[19],No[19],Read-only[19],Yes[19],Custom[19]
Vanilla Forums,Yes[26],[empty],Yes[26],Yes[26],Plugin[26],Plugin [66][67],[empty],Yes[68],Yes[69]
vBulletin[70],Yes[26],Yes[26],Yes[26],Full[26],Yes[26],Plugin[71][72],[empty],No[73],[empty]
XenForo,Yes[26],[empty],Yes[26],Full[26],Yes[26],Yes[74],[empty],Yes[75],Yes[76]
