Format:,Sony media
Published as:,.lrf; .lrx
Format:,compressed images
Published as:,.cbr (RAR); .cbz (ZIP); .cb7 (7z); .cbt (TAR); .cba (ACE)
Format:,Microsoft Compiled HTML Help
Published as:,.chm
Format:,DAISY
Published as:,[empty]
Format:,DjVu
Published as:,.djvu
Format:,Microsoft Word
Published as:,.DOC
Format:,Microsoft Word (XML)
Published as:,.DOCX
Format:,Palm Media
Published as:,.pdb
Format:,FictionBook
Published as:,.fb2
Format:,Apabi Reader
Published as:,.xeb; .ceb
Format:,Hypertext
Published as:,.htm; .html and typically auxiliary images  js and css
Format:,iBook
Published as:,.ibooks
Format:,IEC 62448
Published as:,[empty]
Format:,IBM & Open Source
Published as:,.inf
Format:,Kindle
Published as:,.azw; .azw3 or .kf8; .kfx
Format:,Microsoft Reader
Published as:,.lit
Format:,Mobipocket
Published as:,.prc; .mobi
Format:,Eveda
Published as:,.exe or .html
Format:,Newton Digital Book
Published as:,.pkg
Format:,Open eBook
Published as:,.opf
Format:,Portable Document Format
Published as:,.pdf
Format:,text
Published as:,.txt
Format:,Plucker
Published as:,.pdb
Format:,PostScript
Published as:,.ps
Format:,Rich Text Format
Published as:,.rtf
Format:,SSReader
Published as:,.pdg
Format:,TEI Lite
Published as:,.xml[citation needed]
Format:,TomeRaider
Published as:,.tr2; .tr3
Format:,OpenXPS
Published as:,.oxps  .xps
Format,Filename extension,DRM support,Image support,Table support,Sound support,Interactivity support,Word wrap support,Open standard,Embedded annotation support,Book- marking,Video support
Comic Book Archive,.cbr  .cbz  .cb7  .cbt  .cba,?,Yes,No,No,No,No,Yes,No,No,No
DjVu,.djvu,?,Yes,Yes,No,No,No,Yes,Yes,Yes,No
DOC,.doc,?,Yes,Yes,Yes,?,Yes,No,?,?,Yes
DOCX,.docx,?,Yes,Yes,Yes,?,Yes,Yes,Yes,?,Yes
EPUB (IDPF),.epub,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes/No[f 1],Yes/No[f 1],Yes[f 2]
FictionBook,.fb2,No,Yes,Yes/No[f 3],No,No,Yes,Yes,Yes,?,?
HTML,.html,No,Yes,Yes,Yes[f 4],No,Yes,Yes,No,No,Yes[f 4]
iBooks,.ibook,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
INF,.inf,No,Yes,Yes,No,?,Yes,Yes,Yes/No[f 1],Yes/No[f 1],No
Kindle,.azw,Yes,Yes,Yes[f 5][33],Yes[f 6][34],Yes,Yes,No,Yes,Yes,Yes[f 6][34]
Microsoft Reader,.lit,Yes,Yes,?,No,No,Yes,No,?,Yes,?
Mobipocket,.prc  .mobi,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,?
Multimedia EBook,.exe,Yes,Yes,?,Yes,Yes,No,Yes,Yes,Yes,?
Newton Book,.pkg,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
eReader,.pdb,Yes,Yes,?,No,No,Yes,No,Yes,Yes,?
Plain text,.txt,No,No,No,No,No,Yes,Yes,No,No,No
Plucker,.pdb,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,?
Portable Document Format,.pdf,Yes,Yes,Yes,Yes,Yes,Yes/No[f 7][35],Yes,Yes,Yes,Yes[f 8]
PostScript,.ps,No,Yes,?,No,No,No,Yes,?,?,?
Tome Raider,.tr2  .tr3,Yes,Yes,?,No,No,Yes,No,?,?,?
OpenXPS,.oxps  .xps,?,Yes,Yes,?,No,No,Yes,?,?,?
