Assembler,License,Instruction set,Host platform
Atari Assembler Editor,Proprietary,MOS Technology 6502,Atari 8-bit family
Atari Macro Assembler,Proprietary,MOS Technology 6502,Atari 8-bit family
Lisa,Proprietary,MOS Technology 6502,Apple II series
MAC/65,Proprietary,MOS Technology 6502  WDC 65C02,Atari 8-bit family
Merlin,Free,MOS Technology 6502  WDC 65C02,Apple II series
vasm,Free,MOS Technology 6502,various
k2asm,Artistic License,MOS Technology 6502,Linux  Windows  macOS  possibly other Unices
Assembler,Open source,License,Instruction set,Host platform,Development active
ASM-One Macro Assembler,No,Free,Motorola 680x0,Commodore Amiga,No
vasm,No,Proprietary,Motorola 680x0,various,Yes
Assembler,License,Instruction set,Host platform
GNU Assembler,Free,ARM,various
vasm,Free,ARM,various
Assembler,License,Instruction set,Host platform
BAL,Free,IBM System/360,IBM BPS/360
HLASM,Proprietary,z/Architecture,numerous
IBM Assembler D,Free,IBM System/360,IBM DOS/360
IBM Assembler E,Free,IBM System/360,IBM OS/360
IBM Assembler F,Free,IBM System/360,IBM OS/360 and CP-67/CMS
IBM Assembler H,Proprietary,IBM System/360 and System/370,IBM OS/360 and successors
IBM Assembler XF,Free,IBM System/370,numerous
PL360,Free,IBM System/360,IBM OS/360
