Software,Version,Operating systems,Developer,License
BeeOne SMOD/HMS,3.1,Windows,Hemi-Synths Explorers,Proprietary
Binaural Beethoven,3.1.4,iOS,Tomáš Baculák,Proprietary
Brain Equalizer,3.7.0,iOS,Tomáš Baculák,Proprietary
BrainWave Generator,3.1,Windows,Noromaa Solutions Oy.,Proprietary
Gnaural,1.0.20100707,FreeBSD  Linux  Mac OS X  Windows,gnaural,GPL
BrainIgniter Player,6.0,Windows,Volition,Proprietary
Neuro Entrainment,2.0,Android,Tensai,Proprietary
Neuro-Programmer 3,3.0.9.0,Windows,Transparent Corp.,Proprietary
Mind WorkStation,1.2.2.0,Windows,Transparent Corp.,Proprietary
SBaGen,1.4.4,DOS  FreeBSD  Linux  Mac OS X  Windows  WinCE,Uazu,GPL
Brainwave Studio,1.5,Mac OS X  iOS,RCS Software,Proprietary
Discord,3.2.1,Linux,Stan Lysiak,GPL
Isochronic Tone Generator,1.8,iOS,CMLStudio,Proprietary
Lux VST Brainwave Entrainment Instrument,1.1,Windows,Steve Duell,GPL
Neuro Sequencer Pro,1.7,Windows,isone,Proprietary
SHARM Studio 5,5.3.5,Windows,CyberTeam Ltd.,Proprietary
Software,Isochronic tones,Monaural beats,Binaural beats,Photic
BeeOne SMOD/HMS,Yes,Yes,Yes,No
Binaural Beethoven,No,No,Yes,No
Brain Equalizer,No,No,Yes,?
BrainWave Generator,No,No,Yes,Yes
Gnaural,Yes,Yes,Yes,?
BrainIgniter Player,Yes,Yes,Yes,No
Neuro Entrainment,Yes,Yes,Yes,No
Neuro-Programmer 3,Yes,Yes,Yes,Yes
Mind WorkStation,Yes,Yes,Yes,Yes
SBaGen,No,Yes,Yes,No
Brainwave Studio,Yes,No,No,No
Discord,Yes,Yes,Yes,?
Isochronic Tone Generator,Yes,No,No,No
Lux VST Brainwave Entrainment Instrument,Yes,Yes,Yes,Yes
Neuro Sequencer Pro,Yes,No,Yes,No
SHARM Studio 5,Yes (wide  narrow),Yes,Yes,No
