Feature / Product,Parallels,Fusion
Windowed/integration mode,Coherence,Unity
Launch Windows apps from dock,Yes,Yes
Cortana in Windows 10,Yes,Yes
Quick-look support,Yes,Yes
5K resolution support,Yes,Yes
Import Boot Camp partitions,Parallels 11,Fusion 8
DirectX 10 support,Parallels 11,Fusion 8
Download Microsoft Windows in Product,Parallels 11,No
Windows 10 "Creator" support,Parallels 12,Fusion 10
MacOS High Sierra support,Parallels 13,Fusion 10
Mac Touch Bar support,Parallels 12,Fusion 10
Linked Clone support,Parallels 11,Fusion 8
macOS Catalina support,Parallels 15,Fusion 11
macOS Sidecar Support,Parallels 15,Fusion 11.5
Apple Pencil Support,Parallels 15,No
DirectX 11,Parallels 15,No
