Afrikaans,Dutch,English
aand,avond,evening
aartappelskyfies,(aardappel)chips,potato chips (US) crisps (UK)
afkappingsteken  apostroof,weglatingsteken  afkappingsteken  apostrof,apostrophe
amper,bijna amper in some dialects,nearly  almost
amptelik,officieel  ambtelijk,official
as,als,if
asem,adem (asem also used in Belgium),breath
asseblief,alsjeblieft  alstublieft,please
baadjie  jas,jasje  vest,jacket
baba,baby  kindje,baby
baie,heel  zeer  veel,very  much
bakkie,pick-up,pick-up truck
beeldpoetser,media-adviseur,media spokesperson press officer
bergie,zwerver,vagrant
bestuurslisensie,rijbewijs,driving licence (UK) driver's license (US)
blokkiesraaisel,kruiswoordraadsel,crossword puzzle
bobbejaan,baviaan,baboon
bokkie,schatje  liefje,baby  darling
bolla,zoet broodje,bun
botsing,aanrijding,collision
braai,barbecue,barbecue
Brittanje,Groot-Brittannië,Britain  Great Britain
bromponie,bromfiets  scooter,moped  scooter
daardie  daai,die,that  those
dagga,marihuana,marijuana  cannabis
dankie,dank je/u  bedankt,thank you  thanks
deur,door,through  door
deurmekaar,doorelkaar (doormekaar also used in Belgium),mixed up  confused
die,de  het,the
duikweg,tunnel,tunnel  underpass
dwelms,drugs bedwelmen means "intoxicate",drugs
e-pos,e-mail,email
eiendoms beperk (Edms.) Bpk.,besloten vennootschap (BV),propriety limited (Pty.) Ltd.
eksie-perfeksie,fantastisch,cool  great
ekskuus,excuus similar pronunciation,sorry  apology
enigiets,nog iets,anything
enigiemand,iedereen,anyone
enjin,motor,engine
gatvol,zat zijn,fed up
geskenk,cadeau  kado (also used in Afrikaans)  geschenk older term,gift  present
glo,geloven,believe
gogga,insect,insect  bug
grasperk,gazon,lawn
grondboontjie,pinda  apennoot,peanut
grondboontjiebotter,pindakaas,peanut butter
gunsteling,favoriet gunsteling older term,favourite
haas,konijn haas means "hare",rabbit
Heilsleër,Leger des Heils,Salvation Army
hierdie  dié,dit  deze,this  these
hoender,kip less common: hoen  hoender,chicken
