Editor,Site,Latest version,Style  clone of,Cost (US$),Software license,Open source,Browser support,Activity
Ace,Home  demo,1.4.2  2018-11-21,Sublime Text / Microsoft Visual Studio,Free,New BSD License,Yes,Firefox 3.5+  Safari 4+  Chrome  IE 8+  Opera 11.5+,Yes
Atom,Home,1.7.3  2016-04-28,Emacs  Vim and others,Free,Dual,Yes,Chrome,Yes
CodeMirror,Home  demo,5.39.0  2018-06-20,plain textarea,Free,MIT-like,Yes,Firefox 3+  Chrome  Safari 3+  Internet Explorer 8+  Opera 9+[1],Yes
Codeanywhere,Home,6.0,SublimeText,-,Public Cloud,No,Firefox 3+  Chrome  Safari 3+  Internet Explorer 8+  Opera 9+,Yes
Codenvy Editor,Home,2.10.17  2014-01-17,Eclipse,-,Public Cloud,Yes,Firefox 3+  Chrome  Safari 3+  Internet Explorer 8+  Opera 9+,Yes
Orion,Home,8.0  2015-03-04,Eclipse SWT StyledText  regular textarea,Free,dual-licensed: BSD 3-clause and EPL,Yes,Firefox 37+  Chrome 40+  Safari7+  Internet Explorer 11+[2],Yes
Monaco Editor,Home  demo,0.17.1  2019-06-25,Visual Studio Code,Free,MIT,Yes,IE8+  Firefox 4+  Chrome,Yes
Markitup,Home  demo,1.1.14  2013-02-04,Markup editor  no syntax highlight,Free,MIT  GPL,Yes,IE 6 & 7  Firefox 2 & 3  Safari 3.1  Opera 9+[3],Some
LDT,Home,2012-02-19,regular textarea,Free,MIT  GPL,Yes,Firefox 3.6+  IE8  Chromium 16  Midori 4.1  Opera 11  Epiphany,Some
Ymacs,Home  demo,0.5  2012-03-28,Emacs,Free,BSD,Yes,Firefox  Chrome  Safari,Some
CodePress,Home,0.9.6  2007-09-26,Microsoft Visual Studio,Free,LGPL,Yes,?,No
CodeTextArea,Home  demo,2009-06,Microsoft Visual Studio,Free,BSD,Yes,Dojo widget,No
EditArea,Home  demo,0.8.2  2010-01-14,Microsoft Visual Studio,Free,LGPL,Yes,IE 6+  Firefox 1.5+  Safari 3+  Opera 9+  Chrome[4],No
Helene,Home  demo,0.9  unknown release date,Microsoft Visual Studio,Free,GPL,Yes,[empty],No
9ne,Home,?,Emacs,Free,GPL,Yes,[empty],No
jsvi,Home,?,vi,Free,GPL,Yes,[empty],No
MDK-Editor,Home,2.10  2008,Microsoft Visual Studio,Depends on use,Dual,Code is readable,tested to work on: IE 6  7 - Firefox 2  3 - Chrome,Yes
Micro,Home,2013,nano,Free,GPL,Yes,[empty],Some
Feature,Ace,CodeMirror,Orion,CodePress,CodeTextArea,EditArea,Helene,markItUp!,MDK-Editor
Implementation,[empty],nestable full parsers,pattern-based parser,pattern-based parser,[empty],[empty],[empty],[empty],parsers
Syntax highlight,Over 110 languages,Over 130 languages,mixed mode: HTML + JavaScript and CSS  PHP  EJS; single mode: JavaScript  Java  JSON  CSS  Python  Ruby  XML  YAML (pluggable),limited mixed mode: HTML + JavaScript (no CSS)  PHP + HTML (no JavaScript or CSS)  Java  Perl  SQL,only keywords,only one language at a time: Perl  PHP  CSS  Javascript  Python  HTML  XML  VB  C  CPP  SQL  Pascal  Basic  Brainf*ck,PHP,No,mixed mode: PHP + HTML + JavaScript + CSS  single-mode: PHP  Javascript  CSS  XML; extensible
Syntax checking,HTML  CSS  JavaScript (using JSHint),Some,JavaScript (using JSLint),No,[empty],[empty],No,[empty],HTML  JavaScript (using JSLint)
Tab support,Yes,Yes,Yes,Some,[empty],Yes,[empty],[empty],Yes
Indent  new line keeps level,optional setting that is on by default,Yes,Yes,very limited,No,Yes,N/A (can't press Enter),No,Yes
Indent  syntax,Yes,Yes,Yes,[empty],[empty],No,[empty],[empty],No
Indent  selected block,yes  including Shift+Tab,either automatically  or block-level indent/unindent,yes  including Shift+Tab,No,[empty],yes  including Shift+Tab,[empty],[empty],yes  including Shift+Tab and using context menu
Bracket matching,Yes,Yes,Yes,an implementation exists with mouse-hover bracket matching[citation needed],Ctrl+B; no angle bracket matching,[empty],[empty],No,matching bracket ([{<>}]) always highlighted
XML matching tag highlight,Yes,Yes,No,No,[empty],[empty],[empty],[empty],Yes
Code folding,Yes,Yes[5],Some[6],No,No,No,No,No,No
Code snippets,Yes,through API/add-on,Some,type 'for' or 'if' then Tab,No,Yes,No,Yes,JavaScript
Code suggestion,Yes,example,Yes through esprima content assist plugin,No,[empty],yes[citation needed],[empty],No,CSS  HTML  JavaScript)
Toggle syntax highlight on/off,Yes,Yes,No,[empty],[empty],last example in demo,[empty],N/A,textmode
Keyboard shortcuts,All Common Shortcuts & Custom Keybindings,fully configurable,Yes,[empty],[empty],some common used: Ctrl+f  Ctrl+g Ctrl+z Ctrl+y,[empty],Yes,All key combos (except F1 in IE7) can be bound to shortcuts
Line numbers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,supports mouse selection
Search & replace,regex supported,via API,Yes,[empty],No,toolbar button,[empty],[empty],has API for the studio
Spell checking,addon for context menu,No,No,browser-based,none,browser-based,none,browser-based,No
Toolbar,But command line console,No,No,[empty],No,Yes,No,Yes,No
Visual styling,Fully theme-able,CSS-based themes,Yes,[empty],font-type and font-size,[empty],[empty],[empty],5 styles to choose from  having 2 font-sizes
Undo/Redo,Yes,Yes,Yes,Yes,[empty],Yes,[empty],[empty],Differential Undo
Multiple cursors / Block selection,Multiple cursors,Yes,Yes,No,No,No,No,No,No
IndentGuides,Yes,No,No,No,No,No,No,No,No
Inline widgets,Yes,Yes,No,No,No,No,No,No,No
Non US charset support,Yes,Yes,Yes,[empty],[empty],[empty],[empty],[empty],No
