Name,Creator,First public release date,Latest stable version,Software license
Ddoc,Walter Bright,2005/09/19,DMD 2.078.3,Boost
Document! X,Innovasys,1998,2014.1,Proprietary
Doxygen,Dimitri van Heesch,1997/10/26,1.8.14,GPL
Epydoc,Edward Loper,2002/01/—,3.0 (2008),MIT
fpdoc (Free Pascal Documentation Generator),Sebastian Guenther,2005?,2.6.4,GPL
Haddock,Simon Marlow,2002,2.13.1 (2012),BSD
HeaderDoc,Apple Inc.,2000/09/—,8.9.28,APSL
Imagix 4D,Imagix Corp.,1995,7.3,Proprietary
Javadoc,Sun Microsystems,1995,1.6,GPL
ScalaDoc,LAMP  EPFL,2011,1.0,Scala License
JSDoc,Michael Mathews,2001/07/—,1.10.2,GPL
JsDoc Toolkit,Michael Mathews,2007?,2.0.0,MIT
mkd,Jean-Paul Louyot,1989,2015,EUPL GPL
Natural Docs,Greg Valure,2003/05/26,2.0.2,GPL
NDoc,Jason Diamond  Jean-Claude Manoli  Kral Ferch,2003/07/27,1.3.1,GPL
Pandoc,John MacFarlane,2006,1.14.0.3 (2015),GPL
pdoc,Andrew Gallant,2013,0.5.1,Affero GPL
perldoc,Larry Wall,1994,5.16.3,Artistic  GPL
phpDocumentor,Joshua Eichorn,2000,1.4.4,LGPL
pydoc,Ka-Ping Yee[1][2],2000,in Python core,Python
RDoc,Dave Thomas,2001/12/14,in Ruby core,Ruby
ROBODoc,Frans Slothouber,1995/01/19,4.99.36,GPL
Sandcastle,Microsoft,2008/05/—,2014.5.31.0,Ms-PL
Sphinx,Georg Brandl,2008/03/21,1.6.3,BSD
Visual Expert,Novalys,1995,2017,Proprietary
VSdocman,Helixoft,2003 Oct 2,9.0,Proprietary
YARD,Loren Segal,2007/02/24,0.7.3,MIT
Name,Creator,First public release date,Latest stable version,Software license
[empty],Windows,OS X,Linux,BSD,Unix
Ddoc,Yes,Yes[a],Yes,Yes[a],No
Document! X,Yes,No,No,No,No
Doxygen,Yes,Yes,Yes,Yes,Yes
Epydoc,Yes,Yes,Yes,Yes,Yes
Haddock,Yes,Yes,Yes,Yes,Yes
HeaderDoc,No,Yes,Yes,Yes,Yes
Imagix 4D,Yes,No,Yes,No,Yes
Javadoc,Yes,Yes,Yes,Yes,Yes
JSDoc,Yes,Yes,Yes,Yes,Yes
JsDoc Toolkit,Yes,Yes,Yes,Yes,Yes
mkd,Yes,No?,Yes,Yes,Yes
Natural Docs,Yes,Yes,Yes,Yes,Yes
NDoc,Yes,No,No,No,No
Pandoc,Yes,Yes,Yes,Yes,Yes
pdoc,Yes,Yes,Yes,Yes,Yes
perldoc,Yes,Yes,Yes,Yes,Yes
phpDocumentor,Yes,Yes,Yes,Yes,Yes
pydoc,Yes,Yes,Yes,Yes,Yes
RDoc,Yes,Yes,Yes,Yes,Yes
ROBODoc,Yes,Yes,Yes,Yes,Yes
Sandcastle,Yes,No,No,No,No
Sphinx,Yes,Yes,Yes,Yes,Yes
Visual Expert,Yes,No,No,No,No
VSdocman,Yes,No,No,No,No
[empty],Windows,OS X,Linux,BSD,Unix
[empty],C  C++,Java,C#,VB  VBScript,Delphi  Pascal,Ada,D,IDL,Access,Fortran
Ddoc,No,No,No,No,No,No,Yes,No,No,No
Document! X,C++/CLI only,Yes,Yes,Yes,No,No,No,Yes,Yes,No
Doxygen,Yes,Yes,Yes,with Plugin[b],with Plugin[b],No,Partial,Yes,No,Yes
Epydoc,No,No,No,No,No,No,No,No,No,No
Haddock,No,No,No,No,No,No,No,No,No,No
HeaderDoc,Yes,Yes,No,No,Yes,No,No,Yes,No,No
Imagix 4D,Yes,Yes,No,No,No,No,No,No,No,No
Javadoc,No,Yes,No,No,No,No,No,No,No,No
JSDoc,No,No,No,No,No,No,No,No,No,No
JsDoc Toolkit,No,No,No,No,No,No,No,No,No,No
Natural Docs,Partial,Partial,Yes,Partial,Partial,Partial,No,No,No,Partial
NDoc,No,No,Yes,No,No,No,No,No,No,No
pdoc,No,No,No,No,No,No,No,No,No,No
perldoc,No,No,No,No,No,No,No,No,No,No
phpDocumentor,No,No,No,No,No,No,No,No,No,No
pydoc,No,No,No,No,No,No,No,No,No,No
RDoc,Partial,No,No,No,No,No,No,No,No,No
ROBODoc,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
Sphinx,Yes,with Plugin,No,No,No,with Plugin,No,No,No,with Plugin
Visual Expert,No,No,Yes,No,No,No,No,No,No,No
VSdocman,No,No,Yes,Yes,No,No,No,No,No,No
YARD,No,No,No,No,No,No,No,No,No,No
[empty],C  C++,Java,C#,VB  VBScript,Delphi  Pascal,Ada,D,IDL,Access,Fortran
[empty],PHP,Perl,Python,Ruby,JavaScript,ActionScript,PL/SQL,Transact-SQL,Tcl,Haskell
Ddoc,No,No,No,No,No,No,No,No,No,No
Document! X,No,No,No,No,No,No,Yes,No,No,No
Doxygen,Yes,No[b],Partial[c],No,No,No,No,No,Yes,No
Epydoc,No,No,Yes,No,No,No,No,No,No,No
Haddock,No,No,No,No,No,No,No,No,No,Yes
HeaderDoc,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
Imagix 4D,No,No,No,No,No,No,No,No,No,No
Javadoc,No,No,No,No,No,No,No,No,No,No
JSDoc,No,No,No,No,Yes,No,No,No,No,No
JsDoc Toolkit,No,No,No,No,Yes,No,No,No,No,No
Natural Docs,Partial,Yes,Partial,Partial,Partial,Yes,Partial,No,Partial,No
NDoc,No,No,No,No,No,No,No,No,No,No
pdoc,No,No,Yes,No,No,No,No,No,No,No
perldoc,No,Yes,No,No,No,No,No,No,No,No
phpDocumentor,Yes,No,No,No,No,No,No,No,No,No
pydoc,No,No,Yes,No,No,No,No,No,No,No
RDoc,No,No,No,Yes,No,No,No,No,No,No
ROBODoc,Yes,Yes,No,Yes,Yes,Partial,Yes,No,Yes,No
Sphinx,with Plugin,No,Yes,with Plugin,Yes,No,No,No,No,No
Visual Expert,No,No,No,No,No,No,Yes [4],Yes [5],No,No
VSdocman,No,No,No,No,No,No,No,No,No,No
YARD,No,No,No,Yes,No,No,No,No,No,No
[empty],PHP,Perl,Python,Ruby,JavaScript,ActionScript,PL/SQL,Transact-SQL,Tcl,Haskell
