Client,Windows,Mac OS X,Linux,BSD,Solaris,Android,iOS,Other
Songbird,Yes,Yes,Yes,No,Yes,No,No,No
The Bat!,Yes,No,No,No,No,No,No,No
The Old Reader,Web based,Web based,Yes,Web based,Web based,Multiple apps,Multiple apps,Windows Phone  Symbian  WebOS  Firefox OS
Tiny Tiny RSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,every platform with a web browser
Winamp,Yes,No,Obsolete,No,No,No,No,No
Windows Live Mail,Yes,No,No,No,No,No,No,No
Zimbra,Yes,Yes,Yes,Yes,No,No,No,No
Zune,Yes,No,No,No,No,No,No,Windows Mobile
Client,Windows,Mac OS X,Linux,BSD,Solaris,Android,iOS,Other
Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other format,Delta updates,IPv6,Auto updates
Akregator,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
Amarok,?,?,Yes,Yes,Yes,?,Yes,?,No,?,Yes
AOL Explorer,?,?,?,?,?,?,Yes,?,?,Yes,?
Avant,?,?,?,?,?,?,Yes,?,?,Yes,?
Awasu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,any XML format (via XSL),?,Yes,Yes
BlogBridge,?,?,?,?,?,?,?,?,?,?,?
Canto,?,Yes,Yes,Yes,Yes,?,Yes,?,?,?,Yes
Claws Mail,?,No,Yes,Yes,?,?,Yes,?,No,Yes,Yes
CommaFeed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RSS 0.90  RSS 0.92  RSS 0.93  RSS 0.94  Atom 0.3  Atom 1.0[38],No,Yes,Yes
Cooliris,?,?,?,?,Yes,Yes,?,?,No,?,?
Feed Viewer,?,Yes,Yes,Yes,Yes,Yes,Yes,CDF  RDF,No,Yes,Yes
FeedDemon,Yes,?,?,?,?,?,?,?,Yes,?,?
Feedreader,Yes,Yes,Yes,Yes,Yes,?,?,?,?,?,Yes
Flock,Yes,?,?,?,?,Yes,Yes,?,?,Yes,Yes
Gnus,?,Yes,Yes,Yes,?,?,No,Newsgroups,?,Yes,No
IBM Lotus Notes,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
Internet Explorer,No,Yes,Yes,Yes,Yes,?,Yes,Web Slice,Yes,Yes,Yes
iTunes,?,?,?,Yes,Yes,?,Yes,?,No,?,Yes
Juice,?,?,?,?,Yes,?,?,?,No,?,?
K-Meleon,?,?,?,?,?,?,Yes,?,?,Yes,?
Kazehakase,?,?,?,?,?,?,?,LIRS  HINA-DI,?,Yes,?
Liferea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes[39],Yes
Mail (OS X),?,?,?,Yes,?,?,Yes,?,No,Yes,Yes
Maxthon,?,?,?,?,?,?,Yes,?,Yes,Yes,?
MediaMonkey,?,?,?,?,Yes,?,?,?,?,?,?
Microsoft Office Outlook,?,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,Yes
Miro,?,?,?,?,Yes,Yes,?,?,?,?,?
Mozilla Firefox,?,Add-on,Add-on,Add-on,?,Add-on,Add-on,?,No,Add-on,Add-on
Mozilla Thunderbird,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,No,Yes,Yes
NetNewsWire,Yes,?,?,?,?,?,?,?,No,?,?
Netscape Browser,?,?,?,?,?,?,Yes,?,No,Yes,Yes
Netscape Navigator 9,?,?,?,?,?,?,Yes,?,No,Yes,Yes
NewsAccess,?,?,?,?,?,?,?,?,No,?,?
NewsBlur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RSS 0.90  RSS 0.92  RSS 0.93  RSS 0.94  Atom 0.3  Atom 1.0,Yes,Yes,Yes
NewsFire,?,?,?,?,?,?,?,?,?,?,?
OmniWeb,?,?,?,?,?,?,Yes,?,?,Yes,?
Opera Mail,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RDF  Newsgroup,?,Yes,Yes
Pegasus Mail,?,Yes,Yes,Yes,?,?,?,?,?,?,?
Protopage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RSS 0.90  RSS 0.92  RSS 0.93  RSS 0.94  Atom 0.3  Atom 1.0,?,Yes,Yes
Pulse,?,?,?,?,?,?,?,?,?,?,?
Quiterss,?,?,Yes,Yes,?,?,Yes,?,?,?,Yes
Rhythmbox,?,?,?,?,Yes,?,?,?,No,?,Yes
RSS Bandit,?,?,?,?,?,?,?,?,No,?,?
RSSOwl,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Newsgroup,No,Yes,Yes
Safari,Yes,?,Yes,Yes,?,?,Yes,?,No,Yes,Yes
Sage,?,Yes,Yes,Yes,No,No,Yes,?,?,Yes,Yes
SeaMonkey Mail & Newsgroups,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,?,Yes,Yes
Songbird,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
Shiira,?,?,?,?,?,?,Yes,?,?,Yes,?
Sleipnir,?,?,?,?,?,?,Yes,?,No,Yes,?
The Bat!,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
The Old Reader,Yes,?,?,Yes,Yes,?,Yes,PubSubHubbub,No,Yes,Yes
Tiny Tiny RSS,?,?,?,Yes,?,?,Yes,?,No,?,Yes
Winamp,?,?,?,?,Yes,?,?,?,?,Yes,Notification only
Windows Live Mail,?,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,Yes
Zimbra,?,Yes,Yes,Yes,?,?,Yes,?,?,?,?
Zune,?,?,?,?,Yes,?,?,?,?,?,?
Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other standard,Delta updates,IPv6,Auto updates
Client,Pop-up,Tray notification,Browser plugin,E-mail,"newspaper"-like,Media aggregator,Notes,Downloadable attachments
Akregator,Yes,Yes,Yes (integration with konqueror),Yes,?,Yes,KDE,?
Amarok,?,?,?,?,?,Yes,KDE,?
AOL Explorer,?,?,N/A,?,?,?,Discontinued; Feed support is available in Internet Explorer 7,?
Avant,?,?,N/A,?,?,?,Feed support is available in Internet Explorer 7,?
Awasu,Yes,Yes,N/A,Yes,Yes,Yes,Supports user-written plugins.,Yes
BlogBridge,?,?,?,?,?,?,[empty],?
Canto,?,?,?,?,?,?,Ncurses/console based reader,?
Claws Mail,Yes,Yes,Yes,Yes,?,?,RSSyl plugin needed,?
CommaFeed,?,?,Yes,?,Yes,?,Web browser,?
Cooliris,?,?,Yes,?,?,?,Web browser plugin,?
Feed Viewer,No,No,N/A,No,Yes,Yes,[empty],No
FeedDemon,?,Yes,?,?,Yes,?,Discontinued,?
Feedreader,Yes,No,No,?,Yes,?,[empty],?
Flock,?,?,N/A,?,?,Yes,Discontinued,?
Gnus,Add-on,?,?,Yes,?,?,Emacs-based mail and news client,?
IBM Lotus Notes,?,?,?,?,?,?,Studio Blog Reader is one RSS reader application for IBM Lotus Notes; Notes version 8.x introduced a native RSS reader,?
Internet Explorer,?,?,N/A,?,Yes,?,Feed support is available in Internet Explorer 7,?
iTunes,?,?,?,?,?,Yes,[empty],?
Juice,?,?,?,?,?,Yes,Designed as Podcast aggregator,?
K-Meleon,?,?,?,?,?,?,Web browser,?
Kazehakase,?,?,N/A,?,?,?,Web browser,?
Liferea,Yes,Yes,?,?,?,?,[empty],?
Mail (OS X),?,?,?,Yes,?,?,[empty],?
Maxthon,?,?,N/A,?,?,?,Web browser,?
MediaMonkey,?,?,?,?,?,Yes,Media Player,?
Microsoft Office Outlook,?,?,?,?,?,?,Feed support is available in Microsoft Office Outlook 2007,?
Miro,?,?,?,?,?,Yes,Media Player,?
Mozilla Firefox,Add-on,Add-on,N/A,?,?,?,Web Browser,?
Mozilla Thunderbird,?,Add-on,?,Yes,No,?,Mail Client,?
NetNewsWire,?,?,?,?,?,?,[empty],?
Netscape Browser,?,?,N/A,?,?,?,Discontinued; Web browser,?
Netscape Navigator 9,Yes,?,N/A,?,?,?,Discontinued,?
NewsAccess,?,?,?,?,?,?,[empty],?
NewsBlur,?,?,?,?,?,?,[empty],?
NewsFire,?,?,?,?,?,?,[empty],?
OmniWeb,?,?,?,?,?,?,Part of the OmniWeb browser,?
Opera Mail,Yes,Yes,No,Yes,No,?,[empty],Yes
Pegasus Mail,?,?,?,Yes,?,?,Pegasus Mail can convert RSS feeds to e-mails via free add-ons,?
Rhythmbox,?,?,?,?,?,?,Media Player,?
RSS Bandit,?,?,?,?,?,?,.NET Framework based,?
RSSOwl,Yes,Yes,No,No,Yes,Yes,no longer support for Google Reader synchronization since version 2.2.0,Yes
Safari,?,?,N/A,?,Yes,?,Web Browser,?
Sage,?,?,?,?,Yes,?,a Firefox extension,?
SeaMonkey Mail & Newsgroups,?,?,N/A,Yes,?,?,Part of the SeaMonkey Internet suite,?
Songbird,?,?,?,?,?,Yes,Media Player,?
Shiira,?,?,N/A,?,?,?,Web browser,?
Sleipnir,?,?,N/A,?,?,?,Feed support is available in Internet Explorer 7,?
The Bat!,?,?,?,Yes,No,No,Mail client; rss2mail or rss2pop3 plugin needed for versions prior to 6.4; newer versions support RSS natively,?
The Old Reader,?,?,Yes,?,?,?,[empty],?
Winamp,No,?,No,No,No,Yes,Media Player,?
Windows Live Mail,?,?,?,Yes,?,?,[empty],?
Zimbra,?,?,?,?,?,?,Groupware suite,?
Zune,?,?,?,?,?,Yes,Media player,?
Client,Pop-up,Tray notification,Browser plugin,E-mail,"newspaper"-like,Media aggregator,Notes,Downloadable attachments
