Client,Windows,Mac OS X,Linux,BSD,Solaris,Android,iOS,Other
Akregator,No,Yes,Yes,Yes,Yes,No,No,No
Amarok,Yes,Yes,Yes,Yes,Yes,No,No,No
AOL Explorer,Yes,No,No,No,No,No,No,No
Avant,Yes,No,No,No,No,No,No,No
Awasu,Yes,No,No,No,No,No,No,No
BlogBridge,Yes,Yes,Yes,No,No,No,No,No
Canto,No,No,Yes,No,No,No,No,No
Claws Mail,Yes,Yes,Yes,Yes,Yes,No,No,Maemo
CommaFeed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Client side: every platform with a web browser Server side: every platform with Java
Cooliris,Yes,Yes,No,No,No,No,No,No
Feed Viewer,Yes,No,No,No,No,No,No,Windows Phone
FeedDemon,Yes,No,No,No,No,No,No,No
Feedreader,Yes,No,No,No,No,No,No,No
Flock,Yes,Yes,Yes,Yes,No,No,No,No
Gnus,Yes,Yes,Yes,Yes,Yes,Yes,No,DOS
IBM Lotus Notes,Yes,Yes,Yes,No,No,No,No,No
Inoreader,Yes,Yes,Yes,No,No,Yes,Yes,No
Internet Explorer,Included,No,No,No,No,No,No,No
iTunes,Yes,Included,No,No,No,No,No,No
Juice,Yes,Yes,No,No,No,No,No,No
K-Meleon,Yes,No,No,No,No,No,No,No
Kazehakase,No,No,Yes,Yes,No,No,No,No
Liferea,No,No,Yes,Yes,No,No,No,No
Mail (OS X),No,Included,No,No,No,No,No,No
Maxthon,Yes,No,No,No,No,No,No,No
MediaMonkey,Yes,No,No,No,No,No,No,No
Microsoft Office Outlook,Yes,Yes,No,No,No,No,No,Windows Mobile
Mozilla Firefox,Add-on,Add-on,Add-on,Add-on,No,No,No,No
Mozilla Thunderbird,Yes,Yes,Yes,Yes,No,No,No,No
NetNewsWire,No,Yes,No,No,No,No,No,No
Netscape Browser,Yes,No,No,No,No,No,No,No
Netscape Navigator 9,Yes,Yes,Yes,No,No,No,No,No
NewsAccess,No,Yes,No,No,No,No,No,No
NewsBlur,Web based,Web based,Web based,Web based,Web based,Yes,Yes,every platform with a web browser
NewsFire,No,Yes,No,No,No,No,No,No
OmniWeb,No,Yes,No,No,No,No,No,No
Opera Mail,Yes,Yes,Yes,Yes[37],Dropped,No,No,BeOS  QNX  OS/2
Pegasus Mail,Yes,No,No,No,No,No,No,No
Protopage,Web based,Web based,Web based,Web based,Web based,Dedicated Web App,Dedicated Web App,every platform with a Web browser
Pulse,Web based,Web based,Web based,Web based,Web based,Dedicated App,Dedicated App,every platform with a Web browser
QuiteRSS,Yes,Yes,Yes,No,No,No,No,Source code available
Rhythmbox,No,No,Yes,Yes,Yes,No,No,No
RSS Bandit,Yes,No,No,No,No,No,No,No
RSSOwl,Yes,Yes,Yes,Yes,Yes,Yes,No,every platform with Java and SWT
Safari,Yes,Included,No,No,No,No,No,No
Sage,Yes,Yes,Yes,No,No,No,No,No
SeaMonkey Mail & Newsgroups,Yes,Yes,Yes,Yes,No,No,No,No
Shiira,No,Yes,No,No,No,No,No,No
Sleipnir,Yes,No,No,No,No,No,No,No
