Format,Filename extension,Created by,Introduced in,Based on,Integrity check,Recovery record,Encryption supported,Unicode filenames,Modification date resolution
Debian package (deb),.deb,Debian,1994 Debian 0.91,ar  tar  and gzip,Yes,No,No,Yes,1 s
Macintosh Installer,.pkg  .mpkg (metapackage),NeXT,1989 NeXTSTEP 1.0,pax and gzip,Yes,?,?,Yes,?
RPM Package Manager (RPM),.rpm,Red Hat,1995 Red Hat Linux 1.0,cpio and gzip,Yes,?,?,?,1 s
Slackware Package,.tgz,Patrick Volkerding,1993 Slackware 1.0,tar and gzip,Yes,No,No,?,?
Windows Installer (also MSI),.msi,Microsoft,2000 Windows 2000,OLE Structured Storage  Cabinet and SQL,Optional PKCS7 Authenticode Signature,No,No,No,2 s
Java Archive (JAR1),.jar,Sun Microsystems,1997 JDK 1.1,PKZIP,Yes,?,?,Yes,?
Google Chrome extension package,.crx,Google,2009 (Chrome 4.0),Zip,?,?,Yes[3][failed verification],?,?
Pacman,.pkg.tar.xz  .pkg.tar (no compression),Judd Vinet,2001 (before ArchLinux 0.1),tar and xz (formerly gzip),Yes,No,No,Yes,1 s
Archive format,Built-in compression,Self-extracting,Directory Structure,POSIX attributes,ACLs,Alternate data streams
cpio,No1,No,Yes,Yes,No,?
tar,No1,No,Yes,Yes,Some,(in Solaris implementation)
dar,Yes3,No,Yes,Yes,Yes,Yes
ar,No,No,No,Yes,No,?
pax,No,No,Yes,Yes,Yes,?
dump,No1,No,Yes,Yes,Yes,?
shar,No,Yes,Yes,Yes,No,?
makeself,Yes,Yes,Yes,Yes,Yes,?
zip,Yes,Yes2,Yes,No,?,?
rar,Yes,Yes2,Yes,No,?,Yes
ace,Yes,?,Yes,No,?,?
arj,Yes,Yes2,Yes,No,No,?
zoo,Yes,?,Yes,No,?,?
ISO 9660 (CD-ROM),No1,No,Yes,(with Rock Ridge extension),No,?
cab,Yes,Yes2,?,No,?,?
rpm,Yes,No,Yes,Yes,?,?
deb,Yes,No,Yes,Yes,?,?
7z,Yes,Yes,Yes,Yes,?,?
Archive format,Built-in compression,Self-extracting,Directory Structure,POSIX attributes,ACLs,Alternate data streams
