Name,Operating system,User interface,Sector by sector,File by file,Hot transfer,Mount or extract,Operation model,License
Standalone,Client–server,From a Live OS,[added],[added],[added],[added],[added],[added]
Acronis True Image<ref name=ATIH2013 />,Windows,Graphical,[empty],[empty],[empty],[empty],[empty],[empty]
Apple Software Restore,macOS,Command-line,[empty],[empty],[empty],[empty],[empty],[empty]
CloneDisk<ref name="CloneDisk" />,Windows 7,Graphical,[empty],[empty],[empty],[empty],[empty],[empty]
Clonezilla<ref name="clonezilla" />,Linux,Text-based,[empty],[empty],[empty],<ref>https://ubuntuforums.org/showthread.php?t=872832</ref>,[empty],(Clonezilla server edition)
dcfldd,Linux,Command-line,[empty],[empty],[empty],[empty],[empty],[empty]
dd (Unix),Unix,Command-line,[empty],[empty],[empty],[empty],[empty],[empty]
Disk Utility,macOS,Graphical,[empty],[empty],[empty],[empty],[empty],[empty]
Drive SnapShot<ref name="Drive SnapShot" />,Windows,Graphical  Command-line,<ref>http://www.drivesnapshot.de/en/backfaq.htm</ref>,[empty],[empty],[empty],[empty],[empty]
FSArchiver,Linux,Text-based,[empty],[empty],[empty],[empty],[empty],[empty]
Ghost<ref name="Norton Ghost" />,Windows,Graphical <br />Command-line,[empty],[empty],[empty],[empty],[empty],[empty]
GParted Live CD<ref></ref>,Linux,Graphical,[empty],[empty],[empty],[empty],[empty],[empty]
HDClone<ref name="HDClone" />,Windows  (Linux<ref name="HDClone/L">HDClone/L as 2nd Live OS for the stand-alone version since HDClone 7.</ref>),Graphical  Command-line,[empty],[empty],[empty],[empty],[empty],[empty]
Image for Windows<ref name="Image for Windows" />,Windows,Graphical,[empty],[empty],[empty],[empty],[empty],[empty]
IsoBuster<ref name="IsoBuster" />,Windows,Graphical,[empty],[empty],[empty],[empty],[empty],[empty]
Kleo Bare Metal Backup,Independent (Live OS),Graphical,[empty],[empty],[empty],[empty],[empty],[empty]
Mondo Rescue<ref name="MondoRescue" />,Linux,Text-based,[empty],[empty],[empty],[empty],[empty],[empty]
ntfsclone<ref name="ntfsclone1" /><ref name="ntfsclone2" />,Linux,Command-line,[empty],[empty],[empty],[empty],[empty],[empty]
partimage<ref name="partimage1" /><ref name="partimage2" />,Linux,Text-based,[empty],<ref name="PI-filesystems" />,[empty],[empty],[empty],[empty]
Partition-Saving<ref name="partitionsaving1" />,Windows  Linux  DOS,Text-based<br />Command-line,[empty],[empty],[empty],[empty],[empty],[empty]
Redo Backup and Recovery,Independent (Live OS),Graphical,[empty],[empty],[empty],[empty],[empty],[empty]
