File system,Creator,Year of introduction,Original operating system
WAFL,NetApp,1998,Data ONTAP
ext3,Stephen Tweedie,1999,Linux
ISO 9660:1999,Ecma International  ISO,1999,Microsoft Windows  Linux  "classic" Mac OS  FreeBSD  and AmigaOS
JFS,IBM,1999,OS/2 Warp Server for e-business
GFS,Sistina (Red Hat),2000,Linux
ReiserFS,Namesys,2001,Linux
zFS,IBM,2001,z/OS (backported to OS/390)
FATX,Microsoft,2002,Xbox
UFS2,Kirk McKusick,2002,FreeBSD 5.0
OCFS,Oracle Corporation,2002,Linux
SquashFS,Phillip Lougher  Robert Lougher,2002,Linux
VMFS2,VMware,2002,VMware ESX Server 2.0
Lustre,Cluster File Systems<ref></ref>,2002,Linux
Fossil,Bell Labs,2003,Plan 9 version 4
Google File System,Google,2003,Linux
ZFS,Sun Microsystems,2004,Solaris
Reiser4,Namesys,2004,Linux
Non-Volatile File System,Palm  Inc.,2004,Palm OS Garnet
BeeGFS,Fraunhofer/ ThinkParQ,2005,Linux  Windows via Samba
GlusterFS,Gluster Inc.,2005,Linux
Minix V3 FS,Andrew S. Tanenbaum,2005,MINIX 3
OCFS2,Oracle Corporation,2005,Linux
NILFS,NTT,2005,Linux
VMFS3,VMware,2005,VMware ESX Server 3.0
GFS2,Red Hat,2006,Linux
ext4,various,2006,Linux
exFAT,Microsoft,2006,Windows CE 6.0
Btrfs,Oracle Corporation,2007,Linux
JXFS,Hyperion Entertainment,2008,AmigaOS 4.1
HAMMER,Matthew Dillon,2008,DragonFly BSD 2.0
LSFS,StarWind Software,2009,Linux  FreeBSD  Windows
UniFS,Nasuni,2009,Cloud
CASL,Nimble Storage,2010,Linux
OrangeFS,Omnibond and others,2011,Linux
VMFS5,VMware,2011,vSphere 5.0+
CHFS,University of Szeged,2011,NetBSD 6.0+
ReFS,Microsoft,2012,Windows Server 2012
F2FS,Samsung Electronics,2012,Linux
bcachefs,Kent Overstreet,2015,Linux
APFS,Apple,2016,macOS High Sierra  iOS 10.3
NOVA,UC  San Diego,2017,Linux
HAMMER2,Matthew Dillon<ref name=hammer2_design></ref>,2017,DragonFly BSD 5.0
EROFS,Huawei<ref></ref>,2018,Android
File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/ read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Extended attributes/ Alternate data streams/ forks,Checksum/ ECC
BeeGFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CP/M file system,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DECtape<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Elektronika BK tape format,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Level-D,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RT-11<ref></ref>,[empty],[empty],(date only),[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Version 6 Unix file system (V6FS)<ref name="Unixv6"></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Version 7 Unix file system (V7FS)<ref name="Unixv7">See dinode structure on page 355 (FILESYS(5)) of </ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
exFAT,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FAT12/FAT16/FAT32,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
HPFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NTFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],</ref>}},[empty],[empty]
ReFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
HFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
HFS Plus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UFS1,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UFS2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
HAMMER,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ext,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xiafs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ext2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ext3,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ext4,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],</ref>}}
NOVA,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Lustre,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
F2FS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GPFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NILFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ReiserFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Reiser4,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OCFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OCFS2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
JFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
QFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
BFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
AdvFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NSS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NWFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ODS-5,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
APFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
VxFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UDF,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Fossil,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Btrfs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Minix V1,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Minix V2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Minix V3,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
VMFS2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
VMFS3,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ISO 9660:1988,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Rock Ridge,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Joliet ("CDFS"),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ISO 9660:1999,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
High Sierra,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SquashFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
File system,Stores file owner,POSIX file permissions,Creation timestamps,Last access/read timestamps,Last metadata change timestamps,Last archive timestamps,Access control lists,Security/ MAC labels,Extended attributes/ Alternate data streams/ forks,Checksum/ ECC
File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,Internal snapshotting / branching,XIP,Filesystem-level encryption,Data deduplication,Data checksums
DECtape,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
BeeGFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Level-D,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RT-11,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
APFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Version 6 Unix file system (V6FS),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Version 7 Unix file system (V7FS),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
exFAT,[empty],[empty],[empty],(with TexFAT only),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FAT12,[empty],[empty],[empty],(with TFAT12 only),[empty],(with VFAT LFNs only),[empty],[empty],[empty],(DR-DOS with SECURITY only),[empty],[empty]
FAT16 / FAT16B / FAT16X,[empty],[empty],[empty],(with TFAT16 only),[empty],(with VFAT LFNs only),[empty],[empty],[empty],(DR-DOS with SECURITY only),[empty],[empty]
FAT32 / FAT32X,[empty],[empty],?,(with TFAT32 only),[empty],(with VFAT LFNs only),[empty],[empty],[empty],[empty],[empty],[empty]
GFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
HPFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NTFS,[empty],</ref> NTFS 3.0 (Windows 2000) and higher can create junctions  which allow entire directories (but not individual files) to be mapped to elsewhere in the directory tree of the same partition (file system). These are implemented through reparse points  which allow the normal process of filename resolution to be extended in a flexible manner.}},[empty],(2000),[empty],[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty]
HFS Plus,<ref></ref>,[empty],[empty],[empty],</ref> HFS Plus version 5 optionally supports case-sensitivity. However  since case-sensitivity is fundamentally different from case-insensitivity  a new signature was required so existing HFS Plus utilities would not see case-sensitivity as a file system error that needed to be corrected. Since the new signature is 'HX'  it is often believed this is a new filesystem instead of a simply an upgraded version of HFS Plus.<ref> (hasn't been updated to discuss HFSX)</ref><ref> (Very technical overview of HFS Plus and HFSX.)</ref>}},[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UFS1,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UFS2,[empty],[empty],[empty],<ref>https://www.mckusick.com/softdep/suj.pdf</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
HAMMER,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ext,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xiafs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ext2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ext3,[empty],[empty],(2001),(2001),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ext4,[empty],[empty],[empty],[empty],, optional <ref></ref>,[empty],[empty],[empty],[empty],, experimental <ref name="note-67"></ref>,[empty],[empty]
NOVA,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
F2FS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],, experimental <ref name="note-68"></ref>,[empty],[empty]
Lustre,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NILFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ReiserFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Reiser4,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OCFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OCFS2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],, experimental <ref></ref>,[empty]
JFS,[empty],[empty],[empty],(1990),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
QFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
BFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NSS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
NWFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ODS-2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ODS-5,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UDF,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
VxFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Fossil,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],</ref><ref></ref><ref></ref>}},[empty],[empty]
Btrfs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],, planned  not being developed (Nov  2015)<ref></ref>,[empty],[empty]
Minix V1,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Minix V2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Minix V3,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
VMFS2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
VMFS3,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ReFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ISO 9660,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Rock Ridge,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Joliet ("CDFS"),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SquashFS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
File system,Hard links,Symbolic links,Block journaling,Metadata-only journaling,Case-sensitive,Case-preserving,File Change Log,Internal snapshotting / branching,XIP,Filesystem-level encryption,Data deduplication,Data checksums
File system,Host OS,Offline grow,Online grow,Offline shrink,Online shrink
FAT16 / FAT16B / FAT16X,misc.,<ref name="libparted">With software based on GNU Parted</ref>,[empty],<ref name="libparted" />,[added]
FAT32 / FAT32X,misc.,<ref name="libparted" />,[empty],<ref name="libparted" />,[added]
exFAT,misc.,[empty],[empty],[empty],[added]
NTFS,Windows,[empty],[empty],[empty],[added]
ReFS,Windows,[empty],[empty],[empty],[added]
HFS+,macOS,[empty],[empty],[empty],[added]
APFS,macOS,[empty],[empty],[empty],[added]
HFS+,Linux,[empty],[empty],[empty],[added]
SquashFS,Linux,[empty],[empty],[empty],[added]
NOVA,Linux,[empty],[empty],[empty],[added]
JFS<ref></ref>,Linux,[empty],[empty],[empty],[added]
XFS<ref></ref>,Linux,[empty],[empty],[empty],[added]
Lustre<ref name="wiki-faq-old"></ref>,Linux,[empty],[empty],[empty],[added]
F2FS<ref>https://git.kernel.org/cgit/linux/kernel/git/jaegeuk/f2fs-tools.git/</ref>,Linux,[empty],[empty],[empty],[added]
NTFS<ref></ref>,Linux,[empty],[empty],[empty],[added]
ext2<ref name="unix.com"></ref>,Linux,[empty],[empty],[empty],[added]
ext3<ref name="unix.com"/>,Linux,[empty],[empty],[empty],[added]
ReiserFS<ref></ref>,Linux,[empty],[empty],[empty],[added]
Reiser4<ref></ref>,Linux,[empty],[empty],[empty],[added]
ext4<ref name="unix.com"/>,Linux,[empty],[empty],[empty],[added]
Btrfs<ref> SUSE|url=https://www.suse.com/products/server/technical-information/|website=www.suse.com|accessdate=28 April 2018|language=en}}</ref>,Linux,[empty],[empty],[empty],[added]
NILFS<ref></ref>,Linux,[empty],[empty],[empty],[added]
ZFS,misc.,[empty],[empty],[empty],<ref>Mirror and single-disk vdevs can be wholly removed from a pool  but not RAID-Z vdevs. </ref>
JFS2,AIX,[empty],[empty],[empty],[added]
UFS2<ref></ref>,FreeBSD,[empty],(FreeBSD 10.0-RELEASE or later),[empty],[added]
HAMMER,DragonflyBSD,[empty],[empty],[empty],[added]
