Calculator,TIBASIC,Native code,Lua
TI73  TI73 Explorer,yes,yes,no
TI80,yes,no,no
TI81,yes,Only using exploits,no
TI82,yes,Only using exploits,no
TI83,yes,yes,no
TI83 Plus,yes,yes,no
TI83 Plus Silver Edition,yes,yes,no
TI84 Plus,yes,yes,no
TI84 Plus Silver Edition,yes,yes,no
TI84 Plus C Silver Edition,yes,yes,no
TI84 Plus CE,yes,yes,no
TI85,yes,Only using exploits,no
TI86,yes,yes,no
TI89,yes,yes,no
TI89 Titanium,yes,yes,no
TI92  TI92 II,yes,Only using exploits,no
TI92 Plus,yes,yes,no
Voyage 200,yes,yes,no
TINspire  TINspire CAS,yes,Only using exploits,yes
TINspire CX  TINspire CX CAS,yes,Only using exploits,yes
TINspire CX II  TI Nspire CX CAS II,Yes,Only using exploits,Yes
