Name,Platform,License,Builders: Windows,Builders: Java,Builders: other,Notification,Integration  IDEs,Integration  other
Apache Gump,Python,[empty],[empty],[empty],[empty],Email,[empty],[empty]
AppVeyor,Hosted  Self-Hosted,[empty],[empty],[empty],[empty],Email  HipChat  Slack  Catlight,[empty],[empty]
Bamboo,Web container,[empty],</ref> NAnt <ref></ref> Visual Studio<ref></ref>}},</ref> Maven 1-2-3<ref name="confluence.atlassian.com"></ref>}},</ref> Phing <ref></ref> Grunt  Grails<ref></ref>}},XMPP  Google Talk  Email  RSS  Remote API  HipChat,[empty],[empty]
Buddy,Cross-platform,[empty],[empty],[empty],[empty],Desktop  Email  Slack  SMS,[empty],[empty]
Buildbot,Python,[empty],[empty],[empty],[empty],Email  Web  GUI  IRC,[empty],[empty]
BuildMaster,Cross-platform,[empty],[empty],[empty],[empty],Email  custom,[empty],[empty]
CruiseControl,Cross-platform,[empty],[empty],[empty],[empty],Email  CCTray,[empty],[empty]
CruiseControl.NET,Cross-platform,[empty],[empty],[empty],[empty],Email  CCTray  RSS,[empty],[empty]
GitLab,Cross-Platform  Self-Hosted,Proprietary  MIT,</ref>}},</ref>  Gradle<ref></ref>}},</ref>}},Email  Web  Slack and others<ref></ref>,</ref>}},[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
GoCD,Cross-platform,[empty],[empty],[empty],[empty],Email  hipchat  Slack  Gerrit  Gitter  Riemann etc,[empty],[empty]
Jenkins,Web container,[empty],[empty],[empty],[empty],Android  Email  Google Calendar  IRC  XMPP  RSS  Twitter  Slack  Catlight  CCMenu  CCTray,[empty],[empty]
OpenMake Software Meister,Cross-platform,[empty],[empty],[empty],[empty],Email  XMPP  RSS  Systray,[empty],[empty]
Semaphore (software),Hosted,[empty],[empty],[empty],[empty],Email  Campfire  HipChat  Slack  Flowdock  Webhooks  Remote API,[empty],[empty]
Travis CI,Hosted,[empty],[empty],</ref>}},[empty],Email  Campfire  HipChat  IRC  Slack  Catlight  CCMenu  CCTray,[empty],[empty]
TeamCity,Web container,[empty],[empty],[empty],</ref> Xcode <ref></ref> Rake  FxCop}},Email  XMPP  RSS  IDE  SysTray  Catlight,[empty],[empty]
Team Foundation Server  Visual Studio Team Services (VSTS),Cross-platform,Proprietary  MIT,[empty],[empty],[empty],Email  SOAP  Catlight,[empty],[empty]
Vexor,Hosted,[empty],[empty],[empty],[empty],Email  HipChat  Slack,[empty],[empty]
