Name,macOS,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HPUX,iOS,Android,Maemo,Windows Phone
AbsoluteTelnet,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
ConnectBot,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
CRAX Commander,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Dropbear,yes,no,yes,yes,yes,yes,?,?,?,yes,yes,yesr|group=Note|iosjailbreak,no,yes,dunno
eSSH Client,yes,yes,?,yes,yes,yes,?,?,?,no,no,no,no,no,dunno
lsh,yes,no,no,partialr|group=Note|freebsdonly,yes,yes,?,?,?,no,no,no,no,no,dunno
OpenSSH (OpenBSD Secure Shell),included,includedr|group=Note|win32openssh,included,included,includedr|group=Note|opensshlinux,yes,?,yes,yes,yes,yes,yesr|group=Note|iosjailbreak,yes,yes,dunno
PuTTY,partial,yes,?,yes,yes,yes,no,?,?,no,no,no,no,no,beta
SecureCRT,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,dunno
SmartFTP,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
SSH Tectia Client/ConnectSecure,no,yes,no,no,yes,yes,yesr|group=Note|sft_api,no,yes,yes,yes,no,no,no,dunno
Tera Term,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
TN3270 Plus,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
TtyEmulator,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
WinSCP,no,yes,no,no,no,no,no,no,no,no,no,yesr|group=Note|iosjailbreak,no,no,dunno
ZOC,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,dunno
Name,OS X,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AIX,HPUX,iOS,Android,Maemo,Windows Phone
