Archi tecture,Bits,Version,Intro duced,Max # operands,Type,Design,Registers (excluding FP/vector),Instruction encoding,Branch evaluation,Endian ness,Extensions,Open,Royalty free
6502,8,[empty],1975,1,Register Memory,CISC,3,Variable (8 to 32bit),Condition register,Little,[empty],[empty],[empty]
680x0,32,[empty],1979,2,Register Memory,CISC,8 data and 8 address,Variable,Condition register,Big,[empty],[empty],[empty]
8080,8,[empty],1974,2,Register Memory,CISC,8,Variable (8 to 24 bits),Condition register,Little,[empty],[empty],[empty]
8051,32 (8†’32),[empty],1977?,1,Register Register,CISC,ubl|32 in 4bit|16 in 8bit|8 in 16bit|4 in 32bit,Variable (8bit to 128 bytes),Compare and branch,Little,[empty],[empty],[empty]
x86,16  32  64 (16†’32†’64),[empty],1978,2 (integer) 3 (AVX)[4],Register Memory,CISC,ubl|8 ( 4 or 6 segment reg) (16/32bit)| 16 ( 2 segment reg gs/cs) (64bit),Variable (8086 ~ 80386 variable between 1 and 6 bytes /w MMU  intel SDK  80486 2 to 5 bytes with prefix  pentium and onward 2 to 4 bytes with prefix  x64 4 bytes prefix  third party x86 emulation 1 to 15 bytes w/o prefix & MMU  SSE/MMX 4 bytes /w prefix AVX 8 Bytes /w prefix),Condition code,Little,x87  IA32  MMX  3DNow!  SSE  SSE2  PAE  x8664  SSE3  SSSE3  SSE4  BMI  AVX  AES  FMA  XOP  F16C,No,No
Alpha,64,[empty],1992,3,Register Register,RISC,32 (including "zero"),Fixed (32bit),Condition register,Bi,Htitle|Motion Video Instructions|MVI  Htitle|ByteWord Extensions|BWX  Htitle|Floatingpoint Extensions|FIX  Htitle|Count Extensions|CIX,No,[empty]
ARC,16/32,ARCv2[5],1996,3,Register Register,RISC,16 or 32 including SP user can increase to 60,Variable (16 and 32bit),Compare and branch,Bi,APEX Userdefined instructions,[empty],[empty]
ARM/A32,32,ARMv1v8,1983,3,Register Register,RISC,ubl|15,Fixed (32bit),Condition code,Bi,NEON  Jazelle  Htitle|Vector Floating Point|VFP  TrustZone  Abbr|LPAE|Large Physical Address Extension,[empty],No
Thumb/T32,32,ARMv6ARMv8,1983,3,Register Register,RISC,ubl|7 with 16bit Thumb instructions|15 with 32bit Thumb2 instructions,Thumb Fixed (16bit)  Thumb2 Variable (16 and 32bit),Condition code,Bi,NEON  Jazelle  Htitle|Vector Floating Point|VFP  TrustZone  Abbr|LPAE|Large Physical Address Extension,[empty],No
A64,64,ARMv8A[6],2011[7],3,Register Register,RISC,32 (including the stack pointer/"zero" register),Fixed (32bit),Condition code,Bi,none all ARMv7 extensions are nonoptional,[empty],No
AVR,8,[empty],1997,2,Register Register,RISC,32 16 on "reduced architecture",Variable (mostly 16bit  four instructions are 32bit),Condition register  skip conditioned on an I/O or general purpose register bit  compare and skip,Little,[empty],[empty],[empty]
