Fields and initialization,Java,C#
Fields,yes,yes
Constants,yes,yes; but no support for constant passed parameters[51]
Static (class) constructors,yes,yes
Instance constructors,yes,yes
Finalizers/destructors,yes,yes
Instance initializers,yes,no; can be simulated with instance constructor
Object initialization,yes|Bottomup (fields and constructors),yes|Topdown (fields); bottomup (constructors)
Object initializers,yes,yes
Collection initializers,no; static varargs methods,yes
Array initializers,yes,yes
