IDE,Widget toolkit,Platform,Compilers,Open Source,Made in D,Notes
Visual Studio,Microsoft,Windows,DMD  LDC (LLVM)  GDC (GCC),no,no,Visual Studio extension VisualD  wrote in D
NetBeans,Java Swing,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana  Java,DMD  LDC (LLVM)  GDC (GCC),yes,no,NetBeans module NetBeansD  under MIT License
SlickEdit,Qt,Windows  Linux  MacOS  AIX  HPUX  Solaris  Solaris SPARC,DMD,No,No,[empty]
CodeLite,wxWidget,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),yes,no,[empty]
Xcode,Cocoa,macOS,DMD  GDC (GCC),no,no,Xcode plugin D for Xcode  under GPL v2
MonoDevelop,GTK#,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),yes,no,MonoDevelop extension MonoD  support VisualD projects and DUB  Can be installed on Xamarin Studio too  under Apache License
KDevelop,Qt,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),yes,no,[empty]
Geany,GTK,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),yes,no,Native support
CodeBlocks,wxWidget,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana,DMD  LDC (LLVM)  GDC (GCC),yes,no,Includes partial support
Eclipse,SWT,Windows  macOS  Linux  FreeBSD  Solaris  OpenIndiana  Java,DMD,yes,no,Eclipse Plugin DDT Dropped
