LEPL,Recursive descent,Python,Python (no generation  library),DP|Separate,none,Yes|All,No,Free  MPL  GNU LGPL
Lime,LALR(1),?,PHP,DA|Mixed,external,Yes|All,No,Free  GNU GPL
LISA,LR(?)  LL(?)  LALR(?)  SLR(?),?,Java,DA|Mixed,generated,Some|Java virtual machine,Yes,Free  public domain
LLgen,LL(1),?,C,DA|Mixed,external,Some|POSIX,No,Free  BSD
LLnextgen,LL(1),?,C,DA|Mixed,external,Yes|All,No,Free  GNU GPL
LLLPG,LL(k)  syntactic and semantic predicates,ANTLRlike,C#,DA|Mixed,generated (?),Some|NET Framework  Mono,Yes|Visual Studio,Free  GNU LGPL
LPG,Backtracking LALR(k),?,Java,DA|Mixed,generated,Some|Java virtual machine,No,Free  EPL
LRSTAR,LALR(1)  LR(1)  LR(*),EBNF  Yacclike,C,DP|Separate,generated,Some|Windows,Yes|Visual Studio,Free  BSD
Menhir,LR(1),?,OCaml,DA|Mixed,generated,Yes|All,No,Free  QPL
MLYacc,LALR(1),?,ML,DA|Mixed,external,Yes|All,No,?
Monkey,LR(1),?,Java,DP|Separate,generated,Some|Java virtual machine,No,Free  GNU GPL
Msta,LALR(k)  LR(k),YACC  EBNF,C  C,DA|Mixed,external or generated,Some|POSIX  Cygwin,No,Free  GNU GPL
MTP (More Than Parsing),LL(1),?,Java,DP|Separate,generated,Some|Java virtual machine,No,Free  GNU GPL
MyParser,LL(*),Markdown,C11,DP|Separate,internal,Some|Any with standard C11 compiler,No,Free  MIT
NLT,GLR,C#/BNFlike,C#,DA|Mixed,mixed,Some|NET Framework,No,Free  MIT
ocamlyacc,LALR(1),?,OCaml,DA|Mixed,external,Yes|All,No,Free  QPL
olex,LL(1),?,C,DA|Mixed,generated,Yes|All,No,Free  GNU GPL
parglare,Scannerless LALR(1)/SLR(1)/GLR,BNFlike  Python,N/A (state machine is runtime generated),DA|Mixed,none,Yes|All,No,Free  MIT
Parsec,LL  backtracking,Haskell,Haskell,DA|Mixed,none,Yes|All,No,Free  BSD
ParseYapp,LALR(1),?,Perl,DA|Mixed,external,Yes|All,No,Free  GNU GPL
Parser Objects,LL(k),?,Java,DA|Mixed,?,Some|Java virtual machine,No,Free  zlib
PCCTS,LL,?,C  C,?,?,Yes|All,No,?
PLY,LALR(1),BNF,Python,DA|Mixed,generated,Yes|All,No,Free  MIT
PlyPlus,LALR(1),EBNF,Python,DP|Separate,generated,Yes|All,No,Free  MIT
PRECC,LL(k),?,C,DP|Separate,generated,Some|DOS  POSIX,No,Free  GNU GPL
QLALR,LALR(1),?,C,DA|Mixed,external,Yes|All,No,Free  GNU GPL
RPATK,Recursive descent  backtracking,BNF,C (no generation  library),DP|Separate,none,Yes|All,No,Free  GNU GPL
SableCC,LALR(1),?,C  C  C#  Java  OCaml  Python,DP|Separate,generated,Yes|All,No,Free  GNU LGPL
SLK[5],LL(k) LR(k) LALR(k),EBNF,C  C  C#  Java  JavaScript,DP|Separate,external,Yes|All,No,SLK[6]
SP (Simple Parser),Recursive descent,Python,Python,DP|Separate,generated,Yes|All,No,Free  GNU LGPL
Spirit,Recursive descent,?,C,DA|Mixed,internal,Yes|All,No,Free  Boost
Sprache,LL  backtracking,C#,interpreted,DA|Mixed,internal,Some|NET Framework,No,Free  MIT
Styx,LALR(1),?,C  C,DP|Separate,generated,Yes|All,No,Free  GNU LGPL
Sweet Parser,LALR(1),?,C,DP|Separate,generated,Some|Windows,No,Free  zlib
Tap,LL(1),?,C,DA|Mixed,generated,Yes|All,No,Free  GNU GPL
TextTransformer,LL(k),?,C,DA|Mixed,generated,Some|Windows,Yes,Proprietary
TinyPG,LL(1),?,C#  Visual Basic,?,?,Some|Windows,Yes,Partial  CPOL 10
Toy Parser Generator,Recursive descent,?,Python,DA|Mixed,generated,Yes|All,No,Free  GNU LGPL
TP Yacc,LALR(1),?,Turbo Pascal,DA|Mixed,external,Yes|All,Yes,Free  GNU GPL
UltraGram,LALR(1)  LR(1)  GLR,BNF,C  Java  C#  Visual Basic NET,DP|Separate,external,Some|Windows,Yes,Free  public domain
UniCC,LALR(1),EBNF,C  C  Python  JavaScript  JSON  XML,DA|Mixed,generated,Some|POSIX,No,Free  BSD
UrchinCC,LL(1),?,Java,?,generated,Some|Java virtual machine,No,?
Whale,LR(?)  some conjunctive stuff  see Whale Calf,?,C,DA|Mixed,external,Yes|All,No,Proprietary
wisent,LALR(1),?,C  Java,DA|Mixed,external,Yes|All,No,Free  GNU GPL
Yacc AT&T/Sun,LALR(1),Yacc,C,DA|Mixed,external,Some|POSIX,No,Free  CPL & CDDL
Yacc,LR(1)  LALR(1),Yacc,C  C#,DA|Mixed,generated or external,Yes|All,No,Proprietary
Yapps,LL(1),?,Python,DA|Mixed,generated,Yes|All,No,Free  MIT
yecc,LALR(1),?,Erlang,DP|Separate,generated,Yes|All,No,Free  Apache 20
Visual BNF,LR(1)  LALR(1),?,C#,DP|Separate,generated,Some|NET Framework,Yes,Proprietary
YooParse,LR(1)  LALR(1),?,C,DA|Mixed,external,Yes|All,No,Free  MIT
Parse,LR(1),BNF in C types,?,?,none,Some|C11 standard compiler,No,Free  MIT
GGLL,LL(1),Graph,Java,DA|Mixed,generated,Some|Windows,Yes,Free  MIT
Product,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
