[empty],English,Esperanto,Novial
Infinitive,(to) be absorbed,esti absorbata(j),es absorbat
Simple present,is (am  are) absorbed,estas absorbata(j),es absorbat
Future,will (shall) be absorbed,estos absorbata(j),sal es absorbat
Simple past,was absorbed,estis absorbata(j),did es (esed) absorbat
Past perfect,have (has) been absorbed,estas absorbita(j),ha es absorbat
Pluperfect,had been absorbed,estis absorbita(j),had es absorbat
Future perfect,will (shall) have been absorbed,estos absorbita(j),sal ha es absorbat
Future in the past,was going to (would  should) be absorbed,estis absorbota(j),saled es absorbat
Conditional,would (should) be absorbed,estus absorbata(j),vud es absorbat
Conditional perfect,would (should) have been absorbed,estus absorbita(j),vud ha es absorbat
First imperative,let us be absorbed!,ni estu absorbataj!,let nus es absorbat!
Second imperative,be absorbed!,estu absorbata(j)!,es absorbat!
Third imperative,let him be absorbed!,li estu absorbata!,let lo es absorbat!
