Meaning,Spanish,Portuguese,Notes
newspaper  journal,periÃ³dico < Lat sm|periodcus < gr €µ?¹¿´¹ºŒ‚ [16],jornal < Fra sm|journal,[empty]
journalist,periodista < Lat sm|periodcus < gr €µ?¹¿´¹ºŒ‚ [17],jornalista < Fra sm|journaliste,[empty]
journey,recorrido < Lat sm|recurr“re [18],jornada < ProvenÃ§al sm|jornada < jorn[19],[empty]
shop window,escaparate < Ned sm|schaprade[20],montra < Fra sm|montre,The Frenchderived term vitrina (in both Spa/Por) or vitrine (in Por) is also used
boutique  clothes store,tienda< Lat sm|tenda[21],boutique  butique < Fra sm|boutique[22],[empty]
scarf,bufanda < Uncertain  maybe OFra sm|bouffant[23],cachecol  Ã©charpe sm|cachecol  Ã©charpe[24],[empty]
lampshade  bedside lamp,lÃ¡mpara < Lat < Gre sm|lamp?da < »±¼€¬‚[25],abajur < Fra sm|abatjour[26],[empty]
New Year's Eve,Nochevieja < Lat sm|noctis  veclus < vetÅ«lus[27],Reveillon < Fra sm|Reveillon,[empty]
frisson,escalofrÃo < Lat  prefix sm|ex  cale frige[28],frisson < Fra sm|frisson[29],[empty]
gaffe  blunder,metedura de pata < Lat  Ar sm| < mitt“re  batt[30],gafe < Fra sm|gaffe [31],[empty]
brioche,5oMzmRS  [32],brioche < Fra sm|brioche [33],[empty]
croissant,medialuna < Lat sm| < media  luna[34],croissant  croassÃ£ < Fra sm|croissant [35],[empty]
courgette  zucchini,calabacÃn < Preroman sm|calabaza[36],courgette  curgete < Fra sm|courgette [37],[empty]
blueberry,arÃ¡ndano < Celt  Lat sm|aran  rodamd?rum[38],mirtilo < Fra sm|myrtille [39],In Por arando < Celt sm|aran means cranberry
billy club  truncheon,porra < Lat sm|porrum[40],cassetete  cassetÃªte < Fra sm|cassetÃªte [41],[empty]
creche,JjJWqPL,creche < Fra sm|crÃ¨che[42],[empty]
voyeur,mirÃ³n < Lat sm|mir?ri [43],voyeur < Fra sm|voyeur,[empty]
omelette,tortilla < uncertain  suffix sm|torta  illa ,omelete < Fra sm|omelette[44],[empty]
swing,columpio < Leon < Gr sm|columbiar < º¿»…¼²¾¶½ kolymbÃ¢n  [45],balancÃ© < Fra sm|balancÃ©[46],[empty]
lipstick,pintalabios < Lat sm|pinct?re  labium [47],batom < Fra sm|bÃ¢ton[48],[empty]
cap,gorra < uncertain sm|gorra [49],bonÃ© < Fra sm|bonnet[50],[empty]
hat,sombrero < Lat sm|subumbr?re[51],chapÃ©u < OFra sm|chapel[52],[empty]
(train) station,estaciÃ³n (ferrocarril) < Lat sm|statiÅ?nis[53],gare < Fra sm|gare [54],The term gare in Port is also used for busstation
quay  jetty  key,PzvbXVy,cais < Fra sm|quai [55],The term cais in Port is also used for railway platforms
vehicle,vehÃculo < Lat sm|vehiculum[56],viatura < Fr sm|voiture [57],[empty]
package  packaging,envase < Lat sm|in  vasum[58],embalagem < Fr sm|emballage [59],[empty]
rissole,empanadilla rellena < Lat  prefix sm|en  panis  re  plenus,rissol  rissole < Fra sm|rissole[60],[empty]
souvenir,recuerdo < Lat sm|record?ri[61],souvenir  suvenir < Fr sm|souvenir [62],[empty]
strike,huelga < Lat sm|follic?re[63],greve < Fr sm|grÃ¨ve [64],[empty]
