Package,License,Windows,OS X,Linux,Market focus,Type,Structure
24SevenOffice,Software as a Service,yes,yes,yes,Low to midmarket,ERP  CRM  email  collaboration  Project management  Integrated VoIP,Webbased
Acumatica,Proprietary and Software as a service,yes,yes,yes,Midmarket,ERP  CRM  EMail  Project Management  Integration  Notification  Employee,Webbased
AME Accounting Software,Proprietary,yes,no,no,Low to midmarket,Payroll  general ledger  accounts receivable  accounts payable  Doubleentry bookkeeping system  Small Business Accounting,Standalone
Aplos Software,Proprietary,yes,yes,yes,Low to midmarket nonprofit and faithbased organizations,Fund Accounting  general ledger  accounts receivable  accounts payable  Doubleentry bookkeeping system  nonprofit organization accounting  online fundraising,Webbased
Baan Corporation,Proprietary,yes,yes,yes,Mid to Lowmarket,ERP,Standalone and webbased
CGram Enterprise,Proprietary,yes,yes,yes,Low to midmarket,Financials; ERP; CRM;Manufacturing; Multicompany; Multicurrency; Payroll; Inventory control; accounts receivable; accounts payable; general ledger,Standalone
Cheqbook,Software as a Service,yes,yes,yes,Low to midmarket,Doubleentry bookkeeping system  accounts receivable  accounts payable  Small Business Accounting  Reporting  Business Intelligence  general ledger  Bank Reconciliation  Automatic bank feeds  Journal entries  Check printing  Online payment processing,Webbased
CODA,Proprietary,yes,no,yes,Midmarket,GL; AP; AR; Analytics; Integration; etc,Standalone/Web Access
Comarch Altum,Proprietary,yes,no,no,Low to midmarket,ERP; GL; Bookkeeping  MultiCurrency  MultiLanguage  Doubleentry bookkeeping system  AP; AR; Analytics; Integration; CRM; BI; ecommerce; Workflow; Retail; POS,Standalone / Web access
Express Accounts from NCH Software,Proprietary,yes,yes,no,Low to midmarket,Business Accounting and Invoicing,Standalone/Web access
FinancialForcecom,Software as a Service,yes,yes,yes,Midmarket to enterprise,ERP  ordering & billing  accounts receivable  accounts payable  cash management  general ledger  reporting & dashboarding  multicurrency  multicompany  global tax  analytics,Webbased
FlexAccount,Proprietary,yes,no,no,Mid to highend market,ERP  Manufacturing  Intercompany  Multicurrency  Budgeting  Reporting  Analysis,Standalone and Webbased
FreeAgent,Software as a Service,yes,yes,yes,Freelancers and Microbusiness,Doubleentry bookkeeping system  small business accounting  time tracking  project management  invoicing  expense management  bank feeds  payroll  stock  HMRC tax filing,Webbased
FreshBooks,Software as a Service,yes,yes,yes,Small Businesses (Small Businesses),Cloud accounting specialist for small business owners,Webbased
Gem Accounts,Software as a Service,yes,yes,yes,Low to midmarket,General ledger  chart of accounts  accounts receivable  accounts payable  doubleentry bookkeeping system  small business accounting  midmarket enterprise accounting  multicurrency  multilanguage  multiuser  business reporting  management reporting  inventory control  service/project tracking & billing  payroll  open data and backup exports,Webbased
inDinero,Software as a Service,yes,yes,yes,Small businesses  Startup company,Small business accounting  invoices  bookkeeping  tax return preparation  invoices  bank integration  collaboration,Webbased
invoiceit,Proprietary,yes,no,no,Low to midmarket,Small business accounting  single entry  accounts receivable  accounts payable  contact management system  inventory management  purchasing  quotations  invoices  scheduler  marketing,Standalone
Microsoft Dynamics AX,Proprietary,yes,no,no,Midsize to highend enterprises,ERP  CRM  intercompany  multicurrency  manufacturing  SCM  ecommerce  business intelligence,MultiUser/Location  Terminal Server
Microsoft Dynamics C5,Proprietary,yes,no,no,Small Business,Multicurrency  Fixed Assets  Doubleentry bookkeeping system  General Ledger  Accounts Receivable  Accounts Payable  Reporting & Analysis Services,MultiUser  Remote Access  Web Access  Mobile Access  Cloud Hostable
Microsoft Dynamics GP,Proprietary,yes,no,no,Small & midsize enterprises (SME),ERP  SCM  manufacturing  Cost Accounting  Doubleentry bookkeeping system  project accounting  Payroll  general ledger  Analytic  accounts receivable  accounts payable,MultiUser/Location  Terminal Server  Remote Access  Web Access  Mobile Access  Cloud Hostable
Microsoft Dynamics NAV,Proprietary,yes,no,no,Small & Midsize Enterprises (SME),ERP  CRM  Intercompany  Multicurrency  SCM  Manufacturing  Cost Accounting  Doubleentry bookkeeping system  Project Accounting  Payroll  general ledger  Accounts Receivable  Accounts Payable  Reporting & Analysis Services,MultiUser/Location  Terminal Server  Remote Access  Web Access  Mobile Access  Cloud Hostable
Microsoft Dynamics SL,Proprietary,yes,no,no,Small & midsize enterprises (SME),Project Management  Project Accounting  Reporting & Analysis Services,MultiUser/Location  Terminal Server  Web Access
Microsoft Office Accounting,Proprietary and freeware,yes,no,no,Lowend market,Product is Discontinued,Standalone
MYOB AccountRight,Proprietary,yes,yes,no,Low to highend market,Small business and commercial accounting Payroll and POS,Standalone
MYOB EXO Business,Proprietary,yes,no,no,Mid to highend market,Larger  more complex businesses Fully customised ERP with Accounting/General ledger  CRM  Job & Project Costing  POS  Asset Management and Intercompany Reporting Integrated Payroll & HR available through MYOB EXO Employer Services,Standalone  multiuser/location  terminal server  remote access
NetSuite,Software as a Service,yes,yes,yes,Midmarket,CRM  ERP  Ecommerce,Webbased
NewViews,Proprietary,yes,no,no,Low to midmarket,Realtime  Ecommerce  Integrated  Multiuser  Payroll (Canada  USA)  general ledger  AR  AP  MultiCurrency  Small Business Accounting  Inventory Control  Order Entry  Job Costing  Nonprofit Housing Edition  Work Orders  Attachments (Scans),Standalone and/or Web Access  Cloud Hostable
NolaPro,Software as a Service and freeware,yes,yes,yes,Low to highend market,[empty],[added]
Open Systems Accounting Software,Proprietary,yes,yes,yes,Low to midmarket,ERP  SCM  Ecommerce  Reporting & Business Intelligence,Standalone
Oracle EBusiness Suite,Proprietary,yes,yes,yes,Highend market,ERP,Webbased
Oracle Fusion Cloud ERP,Proprietary,yes,yes,yes,Highend market,ERP  Financial Management  Supply Chain Management  Human Capital Management  Enterprise Performance Management,Webbased
Oracle PeopleSoft Enterprise,Proprietary,yes,yes,yes,Highend market,ERP  Financial Management  Supply Chain Management  Human Capital Management  Customer Relationship Management  Enterprise Performance Management,Webbased
Postbooks,Proprietary,yes,yes,yes,Low to midmarket,Professional Services,Clientserver
Outright,Software as a service and freeware,yes,yes,yes,Entrepreneurs  freelancers  Contractors  Consultants  Small businesses  Lowend market,Bookkeeping  Taxes  Ecommerce  Reporting & Business Intelligence,Webbased
Passport Software,Proprietary,yes,no,yes,Mid to lowend market,General ledger  accounts receivable  Accounts payable  ERP,Standalone
POS solutions,Proprietary,yes,no,no,Newsagency pharmacy,POS,Standalone
QuickBooks Enterprise Solutions,Proprietary,yes,yes,no,Midmarket,Business management  Payroll,Standalone
QuickBooks Online,Proprietary,yes,yes,yes,Lowend market,Accounts receivable  accounts payable  Doubleentry accounting  Small Business Accounting  Multicurrency in Global versions  automatic bank feeds and downloads  standard business reporting  management reporting  Payroll  incorporated credit card and banktobank Payments  inventory items  expense management,Webbased
QuickBooks Pro/Premier,Proprietary,yes,yes,no,Low to midmarket,Accounts receivable  accounts payable  Doubleentry accounting  Small Business Accounting  Multicurrency in Global versions  automatic bank feeds and downloads  standard business reporting  management reporting  Payroll  incorporated credit card and banktobank Payments  inventory items  expense management  fixed asset depreciation,Standalone
Red Wing Software,Proprietary,yes,no,no,Low to midmarket,Payroll  general ledger  accounts receivable  accounts payable  Doubleentry bookkeeping system  fund accounting  inventory management  procurement  order entry/tracking  small business accounting,Standalone
Sage Group,Proprietary,yes,no,no,Accounting Firms,CRM  payroll,Standalone
Sage Accounting,Proprietary,yes,yes,yes,Lowend market (for SME),Accounts receivable  accounts payable  Doubleentry accounting  Small Business Accounting  Multicurrency in Global versions  automatic bank feeds and downloads  standard business reporting  management reporting  Payroll  incorporated credit card and banktobank Payments  inventory items  expense management,Webbased
Sage 50cloud,Proprietary,yes,no,no,Lowend to High end,Business management Financials  Inventory  Manufacturing  Job Costing  POS  Procurement  CRM  Business Intelligence  Payroll  HR; features and OS support dependent on country,Standalone
Sage Intacct,Proprietary,yes,yes,yes,Small & Midsize Enterprises (SME),Accounts Payable  Accounts Receivable  Cash Management  Collaborate  Contract and Subscription Billing  Contract Revenue Management  Fixed Assets  General Ledger  Inventory Management  MultiEntity and Global Consolidations  Order Management  Project Accounting  Purchasing  Reporting and Dashboards  Sales and Use Tax  Spend Management  Time and Expense Management  Vendor Payment Services,Webbased
Sage 300 ERP,Proprietary,yes,yes,yes,Midmarket,ERP  Multicurrency  Intercompany  Reporting & Analysis services  Project & Job costing  general ledger  accounts receivable  accounts payable  Inventory control,Standalone and Webbased
Sage Enterprise Management,Proprietary,yes,yes,yes,Midmarket,ERP  Multicurrency  Intercompany  Reporting & Analysis services  Project & Job costing  general ledger  accounts receivable  accounts payable  Inventory control,Standalone and Webbased
SAP Business ByDesign,Proprietary,yes,yes,yes,Small & midsize enterprises (SME),ERP  Financial Management  Supply Chain Management  Supplier Relationship Management  Project Management  Human Capital Management  Customer Relationship Management  Enterprise Performance Management,Webbased
SAP Business One,Proprietary,yes,no,yes (Server only)[6],Small & midsize enterprises (SME),ERP  ecommerce,Standalone
SAP ERP,Proprietary,yes,yes,yes,Midsize to Highend,ERP  CRM  SCM  SRM  PLM  Global Trade Services (GTS)  ecommerce  Business Intelligence  Mobile Business,Standalone and Webbased
Sybiz Vision,Proprietary and Software as a service,yes,yes,yes,Low to highend market,Accounting software  payroll  manufacturing  project management  job costing  multicurrency  inventory management  traceability and auditing  business intelligence  budgeting  reporting and analytics,Standalone  MultiUser/Location  Terminal Server  Remote Access  Web Access  Mobile Access  Cloud Hostable
TallyERP 9,Proprietary and Software as a service,yes,yes,yes,Low to highend market,Accounting  Accounting software  payroll  inventory management  Accounts receivable  Accounts payable  General ledger  Billing  Stock/inventory  Purchase order  sales order  Bookkeeping  Financial Close Management  Balance Sheets  Point of Sale  Business Reporting and analytics,Standalone  MultiUser/Location  Web Access  Mobile Access
TRAVERSE,Proprietary,yes,no,no,Low to midmarket,ERP  CRM  SCM  Intercompany  Multicurrency  Manufacturing  Distribution  Ecommerce  Mobile Business Solutions  Reporting & Business Intelligence,Standalone
