Styles,Origin,Derived From,Balance of hard and soft techniques,Stances,Representative Kata,Number of kata
ChitÅ?-ryÅ«,Okinawa,ShÅ?rei-ryÅ« or Naha-te  ShÅ?rin-ryÅ«,both elements exist but more soft than hard,natural,Shi Ho Hai  Seisan  Ro Hai Sho  Niseishi  Bassai  Chinto  Sochin  Tenshin  Ro Hai Dai  Sanshiryu  Ryushan  Kusanku  Sanchin,15 kata not including kihon and Bo kihon/kata
GÅ?jÅ«-ryÅ«,Okinawa,Fujian White Crane and Naha-te.,both,deep/natural,Sanchin  Tensho  Gekisai Dai/Sho  Seipai  Saifa  Suparinpei,12
Gosoku-ryÅ«,Japan,GÅ?jÅ«-ryÅ«  Shotokan,both,deep (beginner)  natural (advanced),Gosoku  Rikyu  Denko Getsu  Tamashi,46 including weapons kata
Isshin-ryÅ«,Okinawa,GÅ?jÅ«-ryÅ«  ShÅ?rin-ryÅ«  KobudÅ?,both  fast & hard,natural,Seisan  Naihanchi  Wansu  Passai  Chinto  Kusanku  Seiunchin  Sanchin  Sunsu,15 including weapons kata
Kyokushin,Japan,Shotokan  GÅ?jÅ«-ryÅ«,extremely hard,natural,Taikyoku  Pinan  Kanku  Sanchin  Tensho  Garyu,23 (+ 8 ura kata)
[added],[added],[added],[added],[added],[added],[added]
ShÅ«kÅ?kai,Japan,GÅ?jÅ«-ryÅ« & ShitÅ?-ryÅ«,60% hard  40% soft,natural,Pinan  Bassai Dai  Seienchin  Saifa  RÅ?hai,44
ShindÅ? jinen-ryÅ«,Japan and Okinawa,primarily Shuri-te like ShitÅ?-ryÅ«  but also Naha-te and Tomari-te,both,deep/natural,Shimpa  Taisabaki 1-3  Sunakake no Kon,More than 60 counting all kobudo kata
ShitÅ?-ryÅ«,Japan and Okinawa,Shuri-te and Naha-te,both,deep/natural,Pinan  Bassai Dai  Seienchin  Saifa  RÅ?hai  Nipaipo,94
ShÅ?rin-ryÅ«,Okinawa,Shuri-te  Tomari-te  Chinese martial arts,both  primarily fast & hard,natural,Fukyu  Pinan  Naihanchi  passai  kanku  seisan,21
Shotokan,Japan,ShÅ?rin-ryÅ« and ShÅ?rei-ryÅ«,70% hard  30% soft/fast,deep (beginner)  longer (advanced),3 Taikyoku  5 Heian  3 Tekki  Jion  Kanku Dai  Bassai Dai  Empi  Sochin,26
Shuri-ryÅ«,Okinawa,Shuri-te  Hsing-yi,both,deep/natural,Wunsu  O-Naihanchi  Sanchin,15
Uechi-ryÅ«,Okinawa,Pangai-noon Kung Fu  Naha-te,half-hard  half-soft,mainly natural,Sanchin  Seisan  Sanseirui,8
WadÅ?-ryÅ«,Japan and Okinawa,ShindÅ? YÅ?shin-ryÅ« Jujutsu  Tomari-te and Shotokan,both  primarily soft,mainly natural,Pinan  Kushanku  Seishan  ChintÅ?  Naihanchi  Jion  Wanshu  Jitte and Niseishi<ref></ref>,15
YÅ?shÅ«kai,Japan and Okinawa,ChitÅ?-ryÅ«,60% hard  40% soft,deep (beginner)  natural (advanced),Seisan  Sochin  Tenshin  Bassai (core katas),18
