Name,Developer,Software license,Latest stable software release,Operating system,Year (not dynamic  but easier for sorting)
ABC,various,[empty],3.1 (<ref></ref>),Windows  Linux,2005
Acquisition,Acquisition,[empty],[empty],macOS,2010
BitComet,BitComet Development Group,, Adware,[empty],Windows,2018
BitLet,various,[empty],?,(Java runtime),2015
BitLord,House of Life,, Adware installs WhenU adware,[empty],Windows  macOS,2017
BitTornado,John Hoffman,[empty],[empty],Windows  macOS  Linux  BSD,2006
BitTorrent,BitTorrent,, Adware,[empty],Windows  macOS,2018
BitTyrant,University of Washington,[empty],[empty],Windows  macOS  Linux,2007
Blog Torrent,Downhill Battle,[empty],[empty],Windows  macOS,2005
Deluge,various,[empty],[empty],Windows  macOS  Linux  BSD,2019
FlashGet,Trend Media,[empty],[empty],Windows,2013
Folx,Eltima Software,, Setapp,[empty],macOS,2018
Free Download Manager,alervd,[empty],[empty],Windows  macOS,2018
FrostWire,The FrostWire Project,[empty],[empty],Windows  macOS  Linux  Android,2019
KGet,KDE,[empty],[empty],Linux,2019
KTorrent,Joris Guisson  Ivan Vasić,[empty],[empty],Linux,2019
Lftp,Alexander V. Lukya,[empty],[empty],Linux,2018
LimeWire,Lime Wire LLC,[empty],[empty],Windows  macOS  Linux,2010
Meerkat Bittorrent Client,47 Software,[empty],[empty],Windows,2011
Miro,Participatory Culture Foundation,[empty],[empty],Windows  macOS  Linux,2013
MLDonkey,MLDonkey Project,[empty],[empty],Windows  macOS  Linux  MorphOs,2014
μTorrent,Ludvig Strigeus,, Adware,{{Latest stable software release/μTorrent}},Windows  macOS  Android,2018
OneSwarm,University of Washington,[empty],[empty],[empty],2011
Opera 12,Opera Software,[empty],Windows (Presto) – 12.17 <br />Linux  FreeBSD  macOS – 12.16,Windows  macOS  Linux,2016
qBittorrent,Christophe Dumez,[empty],<ref></ref>,Windows  macOS  Linux  BSD,2019
rTorrent,Jari Sundell,[empty],[empty],Linux,2019
Robert,Sponge  co-developer of I2P,[empty],[empty],[empty],2009
Shareaza,Shareaza Development Team,[empty],[empty],Windows,2017
SymTorrent,Imre Kelényi,[empty],[empty],Symbian,2012
Tixati,Kevin Hearn,[empty],[empty],Windows  Linux,2018
Tomato Torrent,Sarwat Khan,[empty],1.5.1 (<ref></ref>),macOS,2007
Tonido,CodeLathe,[empty],[empty],Windows  macOS  Linux  BSD,2012
TorrentFlux,various,[empty],[empty],PHP Server,2008
Transmission,various,[empty],[empty],Windows  macOS  Linux  BSD,2018
Tribler,The Tribler Team,[empty],[empty],Windows  macOS  Linux  Android,2019
Vuze (formerly Azureus),Vuze,(platform)  GPL (core engine)  Adware,[empty],Windows  macOS  Linux  Android,2017
Xunlei,Thunder Networking Technologies,[empty],[empty],Windows  macOS  Android  iOS,2017
Name,Developer,Software license,Latest stable software release,[empty],Year
BitTorrent client,Windows,macOS,Linux,BSD,iOS,Android,Other
ABC,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Acquisition,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
BitComet,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
BitLet,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
BitLord,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
BitTornado,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
BitTorrent,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty]
BitTyrant,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Blog Torrent,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Deluge,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FlashGet,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Folx,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Free Download Manager,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Frostwire,<ref name="frostwire-dl"></ref>,<ref name="frostwire-dl" />,<ref name="frostwire-dl" />,<ref name="frostwire-dl" />,<ref name="frostwire-dl" />,<ref name="frostwire-dl" />,</ref> Solaris  OS/2  eComStation}}<ref></ref>
KGet,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
KTorrent,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LimeWire,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Meerkat Bittorrent Client,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Miro,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MLDonkey,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
μTorrent,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty]
OneSwarm,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Opera 12,<ref name="bitness" group="Note">x86-32 and x86-64builds available</ref>,[empty],<ref name="bitness" group="Note" />,<ref name="bitness" group="Note" />,[empty],[empty],[empty]
qBittorrent,<ref name="qbittorrent"></ref>,<ref name="qbittorrent" />,<ref name="qbittorrent" />,<ref name="qbittorrent" />,<ref name="qbittorrent" />,<ref></ref>,<ref name="qbittorrent" />
rTorrent,, through Cygwin<ref></ref>,[empty],[empty],[empty],[empty],[empty],[empty]
Shareaza,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SymTorrent,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Tixati,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Tomato Torrent,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Tonido,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
TorrentFlux,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Transmission,<ref name="bitness" group="Note" />,[empty],[empty],[empty],, through Cydia,[empty],[empty]
Tribler,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Vuze,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty]
Xunlei,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Name,Windows,Mac OS X,Linux,BSD,iOS,Android,Other
