[empty],Manufacturer,First public release date,Product line,Launch price (USD),Units sold
Atari Lynx,Atari,<ref name="gamepro" />,Atari Lynx,$<ref name="gamepro" />,[empty]
Atari Lynx II,Atari,[empty],Atari Lynx,$,<ref name="gamepro" />
Dingoo A320,Dingoo Digital Technology,[empty],Dingoo,$,[empty]
Epoch Game Pocket Computer,Epoch Co.,[empty],Epoch Game Pocket Computer,[empty],[empty]
Gamate,Bit Corporation,[empty],Gamate,[empty],[empty]
GameKing,Timetop,[empty],GameKing,$–20 (depending on retailer's subsidies and special offers),[empty]
GameKing II,Timetop,[empty],GameKing,$–30 (depending on retailer's subsidies and special offers),[empty]
Game Boy,Nintendo,[empty],Game Boy line,$ <ref name="used" />,[empty]
Game Boy Advance,Nintendo,[empty],Game Boy line,$,<ref name="earnings release Q4 2007" />
Game Boy Advance SP,Nintendo,[empty],Game Boy line,$,<ref name="earnings release Q4 2007" />
Game Boy Advance SP (backlit model),Nintendo,[empty],Game Boy line,$,[empty]
Game Boy Color,Nintendo,[empty],Game Boy line,$<ref name="used"></ref>,[empty]
Game Boy Light,Nintendo,(Japan only),Game Boy line,[empty],[empty]
Game Boy Micro,Nintendo,[empty],Game Boy line,$,<ref name="gamepro" />
Game Boy Pocket,Nintendo,[empty],Game Boy line,$<ref name="used"/>,[empty]
Game.com,Tiger Electronics,<ref name="gamepro" />,Game.com,$–69<ref>Game Boy Competitors: Part 2 ::: Kombo.com – Video Games  News  Zelda  Halo 3  Grand Theft Auto  Mario  Super Smash Bros. Brawl</ref>,<ref name="gamepro" />
GCW Zero,Game Consoles Worldwide,[empty],GCW,$,[empty]
Gizmondo,Tiger Telematics,<ref name="gamepro" />,Gizmondo,$–400 (depending on advertising subsidies)<ref name="gamepro" />,<ref name="gamepro" />
GP2X,GamePark Holdings,[empty],GP2X,$,<ref name="gp2x sales">Mrozek  Michael (official German distributor posting as "EvilDragon". Source: http://www.planetds.de/index.php?page=artikel&artikel=pandora). Post on GP32x.com forum . August 31  2008. Accessed on: September 5  2008.</ref> (inc. GP2X F200 sales)
GP2X F200,GamePark Holdings,<ref>Martin  Joe. Gamepark GP2X F200 released at last. Bit-tech. October 30  2007. Accessed on: September 15  2008.</ref>,GP2X,$<ref name="gp2x sales" />,<ref name="gp2x sales" /> (inc. original GP2X sales)
GP2X Wiz,GamePark Holdings,[empty],GP2X,$,[empty]
GP2X Caanoo,GamePark Holdings,<ref></ref>,GP2X,$,[empty]
GP32,Game Park,[empty],GP32,$,<ref name="clockerz">GP2X Q&A  With Craig Rothwell. Clockerz. Retrieved March 24  2008.</ref>
GPD Win,GamePad Digital,[empty],GPD Win,$–400<ref></ref>,[added]
GPD Win 2,GamePad Digital,[empty],GPD Win,$-899 (pre-order  and tentative release prices),[added]
GPD XD,Gamepad Digital,[empty],GPD XD,$,[added]
GPD XD Plus,Gamepad Digital,[empty],GPD XD,$,[added]
Mega Duck/Cougar Boy,Creatonic  Videojet  and Timlex,[empty],Mega Duck/Cougar Boy,$,[empty]
Microvision,Milton Bradley Company,[empty],Microvision,$,[empty]
Mi2,Planet interactive,[empty],Pocket Dream Console,€,[empty]
Neo Geo Pocket,SNK Playmore,<ref name="gamepro" />,Neo Geo,$<ref name="gamepro" /><ref name="Neo-Geo"/>,[empty]
Neo Geo Pocket Color,SNK Playmore,<ref name="gamepro" />,Neo Geo,$<ref name="Neo-Geo">Game Boy Competitors: Part 2 ::: Kombo.com – Video Games  News  Zelda  Halo 3  Grand Theft Auto  Mario  Super Smash Bros. Brawl</ref>,[empty]
Neo Geo X,SNK Playmore,<ref name="gamepro" />,Neo Geo,$,[empty]
Nintendo DS,Nintendo,[empty],Nintendo DS,$,<ref name="earnings release Q4 2007" />
Nintendo DS Lite,Nintendo,[empty],Nintendo DS,$,<ref name="earnings release Q4 2007"></ref>
Nintendo DSi,Nintendo,<ref></ref>,Nintendo DS,$<ref></ref>,<ref></ref>
Nintendo 3DS,Nintendo,<ref></ref>,Nintendo DS,$<ref></ref>,(as of June 2018)<ref name="Recent Nintendo sales" />
Nintendo Switch,Nintendo,[empty],Nintendo Switch,$,(as of February 2019)<ref name="Recent Nintendo sales"></ref>
Nintendo 2DS,Nintendo,[empty],Nintendo DS,$,[empty]
Nintendo 2DS XL,Nintendo,[empty],Nintendo DS,[empty],[empty]
N-Gage,Nokia,[empty],N-Gage,$<ref name="gamepro" />,<ref name="gamepro" />
N-Gage QD,Nokia,[empty],N-Gage,$–245 (depending on cell provider subsidies),[empty]
Pandora,OpenPandora,[empty],Pandora,$<ref></ref> (1st and 2nd batch)<br />Rebirth edition: €370 (€440 incl. VAT),<ref></ref>
PlayStation Portable,Sony Computer Entertainment,[empty],PlayStation,$,https://web.archive.org/web/20100304185904/http://www.gamezine.co.uk/news/playstation-3-and-xbox-360-worldwide-sales-equal-in-2008-%241264624.htm
PlayStation Portable Slim and Lite,Sony Computer Entertainment,[empty],PlayStation,$,[empty]
PlayStation Vita,Sony Computer Entertainment,[empty],PlayStation,$ Wi-Fi+3G<br />$249.99 Wi-Fi Only,(as of 2015)
PocketFami,GameTech,[empty],PocketFami,$,[empty]
Sega Game Gear,Sega,[empty],Sega Game Gear,$<ref name="gamepro" />,<ref name="gamepro" />
Sega Nomad,Sega,<ref name="gamepro" />,Sega Nomad,$<ref name="gamepro" />,<ref name="gamepro" />
SwanCrystal,Bandai,[empty],WonderSwan,$,[empty]
Tapwave Zodiac,Tapwave,[empty],Tapwave Zodiac,$–400 (depending on configuration),<ref name="gamepro" />
TurboExpress,NEC,<ref name="gamepro" />,TurboExpress,$<ref name="gamepro" />,<ref name="gamepro"></ref>
VG Pocket,Pelican Accessories,[empty],VG Pocket,$,[empty]
Watara Supervision,Watara,[empty],Supervision,$<ref>Game Boy Competitors: Part 2 ::: Kombo.com – Video Games  News  Zelda  Halo 3  Grand Theft Auto  Mario  Super Smash Bros. Brawl</ref>,[empty]
WonderSwan,Bandai,<ref>Bandai's WonderSwan. Destroy Tokyo. Accessed on: September 15  2008.</ref>,WonderSwan,[empty],[empty]
WonderSwan Color,Bandai,[empty],WonderSwan,$,[empty]
Xperia PLAY,Sony Ericsson,[empty],Xperia,[empty],[empty]
[empty],Main processor,Clock speed,Main memory,Storage,Video memory
Game Boy Micro,Sharp ARM7TDMI,16.78 MHz,32 KB (32 KiB)  256 KB external,None,96 KB
GPD Win,64-bit Intel Atom x7-Z8750,1.60–2.56GHz max (with Turbo Boost),4GB LPDDR3 RAM,64GB eMMC ROM MicroSD,Intel HD 405 integrated
GPD Win 2,64-bit Intel Core M3-7Y30,1.00 GHz/2.60 GHz max (with Turbo Boost),8GB LPDDR3 RAM,128GB M.2 SSD MicroSD,Intel HD 615 integrated
Gizmondo,32-bit ARM9 / 128-bit Nvidia GPU,400 MHz,64 MB (64 MiB),64 MB flash (shared with program stack)  SD slot,1204 KB
PlayStation Portable,MIPS R4000 32-bit RISC,1 – 333 MHz (variable clock speed),32 MB EDRAM (8 MB reserved for kernel),Memory Stick Duo slot  Universal Media Disc,2 MB EDRAM
GCW Zero,32-bit Ingenic JZ4770 (MIPS),1000 MHz,512 MB DDR2,internal 16GB microSD (replaceable)  external microSD slot,?
Nintendo DS,ARM9 and ARM7TDMI,67 MHz and 33 MHz,4 MB SRAM,None,656 KB
N-Gage QD,ARM9,104 MHz,3.4 MB,4 MB flash  MMC slot,N/A
Timetop Gameking 1 & 2,65C02,6 MHz,Unknown,None,N/A
GP2X,ARM920T(host) and ARM940T(video),200 MHz default  overclockable in software (maximum varies),64 MB SDRAM  64 MB NAND flash memory,SD memory cards  NAND flash (SDHC supported in F200 model),Depends on program used  no dedicated 3D
GP32,ARM920T,22–133 MHz default <ref>GP32 Devfaqs. Retrieved March 24  2008.</ref> overclockable in software (maximum varies),8 MB SDRAM,SmartMedia 8–128 MB,?
Dingoo A320,32-bit Ingenic jz4740 (MIPS R3000 Clone) with XBurst SIMD,336 MHz (Reliably clocks to 430 MHz),32 MB (32 MiB),4 GB flash  miniSD slot,N/A
Pandora,ARM Cortex-A8,600 MHz + 430 MHz TMS320C64x+ Core (can be reliably overclocked to 900 MHz)  1 GHz model goes to 1.2 GHz,256 MB / Rebirth edition: 512 MB,512 MB onboard Flash  2 SDHC cards: up to 2 times 512 GB (SDXC cards work  but only at SDHC speed https://web.archive.org/web/20120327092418/http://pandorawiki.org/SDHC_compatibility_list  so 1 TB is possible),?
Tapwave Zodiac,Motorola i. Mxi ARM9,200 MHz,32 MB or 128 MB,32 MB or 128 MB (shared with program stack)  2 SD slots,8 MB
N-Gage,ARM9,104 MHz,3.4 MB  32–128 MB external,4 MB flash  MMC slot,N/A
