Application,CDR/W,DVDR/RW/RAM,DVDR/RW,DVDR/RW DL,DVDR/RW DL,BDR/RE,BDR/RE DL
Alcohol 120%,yes,yes,yes,yes,yes,no,no
CDBurnerXP,yes,yes,yes,yes,yes,yes,yes
cdrtools,yes,yes,yes,yes,yes,yes,yes
DeepBurner,yes,yes,yes,dunno,dunno,no,no
ExpressBurn,yes,yes,yes,yes,yes,yes,yes
ImgBurn,yes,yes,yes,yes,yes,yes,yes
InfraRecorder,yes,yes,yes,yes,yes,no,no
K3b,yes,yes,yes,yes,yes,yes,yes
Libburnia,yes,yes,yes,yes,yes,yes,yes
Nero Burning ROM,yes,yes,yes,yes,yes,yes,yes
UltraISO,yes,yes,yes,yes,yes,yes,yes
XCDRoast,yes,yes,yes,dunno,dunno,no,no
Application,CDR/W 737MB=702MiB,DVDR/RW/RAM 4707GB=4384GiB,DVDR/RW 4700GB=4378GiB,DVDR/RW DL 8548GB=7961GiB,DVDR/RW DL 8544GB=7957GiB,BDR/RE 25GB=2331GiB,BDR/RE DL 50GB=4661GiB
