English,Irish,Scottish Gaelic,Notes
Gael,lang|ga|Gael,lang|gd|G� idheal,Pre 1950s Gaedheal in Irish
Scotland,lang|ga|Alba  Albain,lang|gd|Alba,[empty]
Ireland,lang|ga|�ire  �irinn,lang|gd|Èirinn  lang|gd|Èire,[empty]
day,lang|ga|lá,lang|gd|latha  l� ,[empty]
night,lang|ga|o�che,lang|gd|oidhche,Pre 1950s lang|ga|oidhche in Irish
inside,lang|ga|isteach,lang|gd|asteach,[empty]
school,lang|ga|scoil,lang|gd|sgoil,Pre 1950s lang|ga|sgoil/scoil in Irish
child,lang|ga|páiste/leanbh,lang|gd|p� iste/leanabh,[empty]
without,lang|ga|gan,lang|gd|gun,[empty]
authority,lang|ga|údarás,lang|gd|ùghdarras,Pre 1950s lang|ga|ughdarás in Irish
office,lang|ga|oifig,lang|gd|oifis,[empty]
star,lang|ga|réalt(a),lang|gd|reul,Pre 1950s lang|ga|réalt(a)  reult(a) in Irish
hotel,lang|ga|óstán  teach/tigh ósta,lang|gd|taighòsda[7],Pre 1950s lang|ga|óstán/ósdán  teach/tigh ósta/ósda  in Irish
house,lang|ga|teach (nomacc)  lang|ga|tigh (dat); Munster lang|ga|tigh,lang|gd|taigh,In biblical Gaelic tigh
town,lang|ga|baile,lang|gd|baile,[empty]
news,lang|ga|nuacht; Ulster lang|ga|nuaidheacht,lang|gd|naidheachd,[empty]
open,lang|ga|oscail,lang|gd|fosgail,Also foscail in Ulster Irish
year,lang|ga|bliain,lang|gd|bliadhna,Pre1950s lang|ga|bliadhain in Irish The form lang|ga|bliadhna (lang|ga|bliana today) is used as a special plural form following numerals; the regular plural is blianta) Some eastern Scottish Gaelic dialects use the form lang|gd|bliadhn[8]
radio,lang|ga|raidió,lang|gd|radio,Also lang|ga|réidió and lang|gd|rèidio in spoken Irish and Scottish Gaelic
report,lang|ga|aithris,lang|gd|aithris,[empty]
king,lang|ga|r�,lang|gd|rìgh,Pre1950s genitive lang|ga|r�ogh and dative lang|ga|r�gh in Irish
government,lang|ga|rialtas,lang|gd|riaghaltas,Pre1950s lang|ga|riaghaltas in Irish
parliament,lang|ga|parlaimint,lang|gd|p� rlamaid,[empty]
island,lang|ga|oileán  inis,lang|gd|eilean  inis,[empty]
river,lang|ga|abhainn  Munster lang|ga|abha  dative lang|ga|abhainn,lang|gd|abhainn,[empty]
bridge,lang|ga|droichead,lang|gd|drochaid,[empty]
water,lang|ga|uisce,lang|gd|uisge,[empty]
whisk(e)y,lang|ga|uisce beatha,lang|gd|uisgebeatha,[empty]
God,lang|ga|Dia,lang|gd|Dia,[empty]
church,lang|ga|eaglais,lang|gd|eaglais,In Irish  lang|ga|eaglais is a Roman Catholic house of worship; a Protestant house of worship is called a lang|ga|teampall (temple) As Gaeilge 'séipéal' is also used as it can mean chapel as well
prayer,lang|ga|urna�,lang|gd|ùrnaigh,Also lang|ga|urnaighe in Irish
black,lang|ga|dubh,lang|gd|dubh,[empty]
white,lang|ga|bán,lang|gd|b� n,[empty]
